# w_1 w_2 VF 
9.000000000000000000e+00 1.000000000000000000e+01 -4.239157265427140331e-02
9.387808377375591817e+00 7.891593796670274275e-01 -1.117844739579616720e+00
8.901522804944633549e+00 4.764007896361409422e+00 -4.345397542031402827e-01
7.289254765139657977e+00 9.407419770942123449e+00 1.427100522847002395e-02
7.044222036295129996e+00 6.175460844250086012e+00 -1.928489883499164836e-01
6.799745276961425056e+00 1.935577027692564345e+00 -8.542008954827629008e-01
9.168055509543947323e+00 2.203307359660397147e+00 -8.553010796193153409e-01
8.054130468252325425e-02 1.833546767653559117e-01 -5.474912791648083310e-01
5.469738107834941410e+00 4.959342113325808654e+00 -2.220961726245710421e-01
6.446077503302382050e-01 5.527483799363004380e+00 -1.928901332474073915e-01
7.807576501254644086e+00 2.555279742380783148e+00 -7.970485316485470539e-01
4.604719889477772554e+00 1.965736196865120577e+00 -6.605395186617426528e-01
9.826178042203267182e+00 2.800736882523882088e+00 -7.212092334129560633e-01
4.069800733747374721e+00 7.551525944471459972e-01 -7.664760508552275198e-01
9.156606167505273675e+00 2.513703002878043158e+00 -7.963124682429654211e-01
3.579008882778302425e+00 3.339583653095322902e+00 -2.162018216773903823e-01
9.929736999216857984e-02 7.272462222999894088e+00 -2.288428661272592923e-01
2.583814071094683751e+00 7.854197559315506894e+00 9.526064407964163205e-03
3.801111543280369709e+00 8.857813284320080527e+00 2.142625440043560703e-02
1.607083978083119424e+00 6.973985192353837625e+00 -7.326260096219967821e-02
9.463578801825720532e+00 9.012624913326382492e-01 -1.089085895176909347e+00
3.595086948543147365e+00 7.789056454112607497e+00 2.307520910845495266e-02
1.191208528058351090e+00 2.633043442153185421e+00 -9.311627983899734007e-02
3.761594610177985132e+00 3.943863864761110172e+00 -1.198499272859564202e-01
2.175761933687808458e+00 1.892691258652931863e+00 -3.606056379433696946e-01
6.859132334738164971e+00 7.127251943426500702e+00 -3.387937003949703652e-02
5.725628201926870275e+00 8.980509857940342400e+00 2.120246184318275162e-02
6.925309384872309515e+00 4.749529148290633884e+00 -3.750541684398764897e-01
2.903953836513648135e+00 1.440293877603585404e+00 -5.447811034842093836e-01
7.966354185211046435e+00 9.504483759064314086e+00 9.766504332006764599e-03
1.284609737889014225e+00 5.537453977931989790e+00 -9.474658516063497182e-02
4.900353278732758611e+00 1.285153462196994445e+00 -7.849038576246132326e-01
2.233565243358325958e+00 3.655172584470698816e+00 1.460145764298795279e-02
6.618808290564595076e+00 3.827887063509805898e+00 -5.259716728734590285e-01
6.343859538936768239e+00 1.729591919848238735e-01 -1.051587876345330130e+00
5.011928728278225442e+00 2.261008412667679490e+00 -6.738848193890795146e-01
4.400207723944932425e+00 3.836439697607514354e+00 -2.568453745654653009e-01
9.055819803911491661e+00 4.134070828074722925e+00 -5.217372305229430740e-01
1.102976237394211356e+00 9.645718080643462145e+00 -2.854930115500547427e-01
1.290633064940524211e+00 1.342613378086026543e+00 -4.173252784673969207e-01
9.518976164389149730e+00 1.489718776771741027e+00 -9.753912292532108674e-01
3.720278908121251060e+00 6.223359151050139815e+00 2.372183502027580548e-02
1.001879627132428396e+00 8.680719475823430287e+00 -2.028678640487484863e-01
7.159993976173893770e+00 6.143821924417359526e+00 -2.045100224265775646e-01
8.977552440390667243e+00 8.204421349861906521e+00 -1.368275182325976447e-01
2.740204955225349348e+00 7.497592390456971678e+00 1.764207777516654807e-02
5.319853884477431238e-01 2.160366050393191795e-01 -5.531280217790121023e-01
9.207591336061978993e+00 6.615900265674119929e+00 -2.662921741658547115e-01
4.141773229023296921e+00 8.257412462956015275e+00 2.365386089940363368e-02
6.847538644537623398e+00 4.734627426084171198e+00 -3.741066081908621666e-01
3.951224221350335686e-01 5.450030643872427749e-01 -5.099128234166427909e-01
2.422497640965147123e-02 6.705222339629817174e-01 -4.751493340498578744e-01
8.710805252725741354e+00 2.917786000640210986e+00 -7.260086439543655956e-01
5.099740858579601799e+00 7.331603411789487657e-02 -9.314489386138664617e-01
7.642600178289800539e+00 7.723130077208836930e+00 -4.917526898812762948e-02
1.993386212288787707e-01 5.018207012896582775e+00 -2.290686452703590836e-01
8.253190065517950202e+00 3.346784742864978290e-01 -1.110008479212795329e+00
2.479107017270762103e+00 3.567267831453053151e-01 -6.724701037462084141e-01
8.195211976254942243e+00 3.338842459804820084e+00 -6.435011843471019066e-01
5.931383486680799066e+00 8.878312525511823594e+00 2.011520245603104495e-02
2.665583388610736737e+00 2.585524759956488783e+00 -2.398827436452469763e-01
9.368376511558418329e+00 9.421539697020570259e+00 -5.036299827687718000e-02
5.178697209257986600e+00 5.478339011418310811e+00 -5.251423143209565936e-02
1.468006758657215693e-02 8.020161496133912493e+00 -2.453069133640225219e-01
6.515953192965524998e+00 3.498011269463256578e+00 -5.833671998455527419e-01
9.641903482674099024e+00 7.616962171994225983e+00 -2.151316422428346531e-01
2.249793452649217151e+00 2.381566860378737438e+00 -2.349776602575032458e-01
4.148247545742775877e+00 4.850391820898773965e+00 -6.910467943501363841e-03
8.815053637441991441e+00 5.820521320062272963e-01 -1.156029479730854348e+00
6.179137081758629968e+00 5.721943118171854081e+00 -1.669463637862158567e-01
9.540508246128011294e+00 2.323788433602711034e+00 -8.183162783440686150e-01
8.453506907739685161e+00 1.887790671430268796e+00 -9.260307948462570549e-01
4.843631295187515562e+00 9.121673142890202257e+00 1.889864183532030673e-02
4.646318455857905150e+00 7.669115339202442705e+00 2.458711081365161366e-02
9.510635683379028649e+00 4.529495168271266969e+00 -4.683117162941121681e-01
4.854297645351222990e+00 3.840098262849858113e+00 -3.414094964108113084e-01
3.845255647855593928e+00 4.897874920991449166e+00 2.334881218503831457e-02
6.723187369078396536e+00 4.125644399087144976e+00 -4.739885638896199627e-01
3.814931904754130354e+00 2.435457067142194898e+00 -4.664598260400537599e-01
1.770511620822450283e+00 9.888848159614619604e+00 -2.794215816828089505e-01
4.183363181013985965e+00 5.431764058778693061e-01 -7.980943891582712446e-01
8.558574371167434691e+00 7.145939152888543866e+00 -1.973396490216439148e-01
8.377493935336778108e+00 7.590814531809974675e+00 -1.495993468925703729e-01
5.558899397253924235e+00 2.751017327386120037e+00 -6.540254284917221828e-01
4.098927414628456667e+00 2.122475158303428255e+00 -5.797976405807279132e-01
2.494169940253939011e+00 4.957462404643512843e-01 -6.610932277755405817e-01
5.658779548628491085e+00 3.506660781034241392e+00 -5.194297008016666162e-01
6.751190260523898701e+00 3.298658518889156177e+00 -6.297481577740746683e-01
1.751549663619372588e+00 3.848712795494221073e+00 -8.395580265671054310e-03
9.602408826744353476e+00 5.330282412854087326e+00 -3.778964811964632409e-01
2.181372293639768589e+00 1.448062316634807223e+00 -4.671112861695299046e-01
1.172486101872045605e+00 4.831708718604150299e+00 -9.736554986802975487e-02
9.490090241549184569e+00 6.950427763666324754e-01 -1.120490495842715539e+00
3.600985467174425025e+00 3.010325363150162303e+00 -2.944424807409772304e-01
6.626382498471191873e+00 8.201070866232102574e+00 2.133966123563535433e-02
8.602515971577467724e+00 8.685627806074306179e+00 -4.479406187054135735e-02
2.892934087054130909e+00 4.589930193200378206e+00 2.554549046622603403e-02
4.286490471802379965e+00 4.701359968870820971e+00 -4.954474418056470375e-02
5.273639441430146846e+00 5.220247896639180318e+00 -1.241857541338783344e-01
3.942391851786278600e+00 6.808818003388887596e-02 -8.004763460492054783e-01
8.969266565915251510e-01 8.397985104652505584e+00 -1.956796543572034697e-01
8.780641905260091917e+00 1.519293435534524450e+00 -9.959598764643066149e-01
1.994252851744725108e+00 2.663319030325811188e+00 -1.265830349733487459e-01
4.888118176226936562e+00 2.848988318538538123e-02 -9.046266828566646989e-01
4.457833650372706735e+00 8.795499506858455163e+00 2.401540900359766528e-02
7.750332143834319787e+00 2.686529938461166278e+00 -7.692354018722568076e-01
1.662270272739079013e+00 4.353865856989768801e+00 -2.530921941724473267e-02
2.879344505592464909e-01 2.987876914948587981e+00 -1.779983027579150057e-01
2.371151863353724742e+00 5.294321795316876411e+00 1.541099307972780552e-02
6.067254227810304990e+00 7.695376202055546067e+00 2.274821791239234337e-02
8.717981588372573754e+00 4.493168655764272934e+00 -4.676876712124296009e-01
9.289273918326074408e+00 5.259500296773801153e+00 -3.820018654307962835e-01
7.798940936319480599e+00 1.727431512076554598e-01 -1.091154409078811449e+00
5.717572705390558951e+00 8.021356859437416276e+00 2.374665001029374611e-02
5.304655555638153608e-01 6.172556890320090695e+00 -2.117280832457615058e-01
3.640886283623725461e+00 3.383625515584792076e+00 -2.172912786398468188e-01
3.588416858102818630e+00 7.613480296795749780e+00 2.297883229239544578e-02
4.592727010653086528e-01 9.109797334390135504e+00 -2.827951942680340114e-01
3.868300934865288587e-01 2.077349174378906316e+00 -2.531268478170903835e-01
4.095851100494763308e+00 9.721984754929643202e+00 -8.661729164637743672e-02
4.711591980383064815e+00 7.617392605500976188e+00 2.443553124868824700e-02
5.177956369153901228e+00 6.607860127656732807e+00 2.578191717236022473e-02
2.893021215097489218e+00 6.845150925467108571e+00 2.177100509124557659e-02
3.147663024584621105e+00 1.166712945900408194e+00 -6.215064474708847930e-01
5.955354759239008366e+00 2.306094224165143203e+00 -7.597427843091768551e-01
3.821813568808218875e+00 4.321782611025364318e+00 -4.578379495279361056e-02
6.900109536327313720e+00 9.237857847122503685e+00 1.845221237022642846e-02
4.142856422250547510e+00 9.356534651276469106e+00 -1.766206806013570496e-02
3.914308507413953642e+00 2.713666215060264619e+00 -4.173985495304914917e-01
1.767977824543264909e+00 1.190393824940693124e+00 -4.821298746916412581e-01
1.619367525497195315e+00 1.903158610987346622e+00 -3.107061632414400698e-01
5.304600741508764816e-01 2.473707989757988557e+00 -1.862298392740822650e-01
8.933489022775566113e+00 3.139263078017783926e+00 -6.839831052655184207e-01
3.774192594225504571e+00 4.948331078967938446e+00 2.610753897025530623e-02
7.865280837430807637e+00 2.273542205722277387e+00 -8.529106425651927781e-01
7.683161506389595274e+00 1.744742630079710421e+00 -9.337467058314820045e-01
3.799591796504641739e+00 5.597326119503849284e-01 -7.589517994613593777e-01
3.773554910624862924e+00 5.905737883533973331e+00 2.424932616140440533e-02
