#T1 T2 L2 LInf 
7.100000000000000000e+03 7.101000000000000000e+03 2.171666350358516701e-05 7.498968165998072283e-05
7.101000000000000000e+03 7.102000000000000000e+03 1.938902524648181234e-05 6.610415126128197207e-05
7.102000000000000000e+03 7.103000000000000000e+03 1.789773132421294439e-05 6.139977516388971427e-05
7.103000000000000000e+03 7.104000000000000000e+03 1.603057655480427278e-05 5.727706662731552929e-05
7.104000000000000000e+03 7.105000000000000000e+03 1.538370754022456158e-05 5.008466819660424568e-05
7.105000000000000000e+03 7.106000000000000000e+03 1.373325434572440562e-05 6.470480806681499510e-05
7.106000000000000000e+03 7.107000000000000000e+03 1.228874114286563393e-05 4.359809717715493887e-05
7.107000000000000000e+03 7.108000000000000000e+03 1.202603782777927606e-05 4.064611045096704729e-05
7.108000000000000000e+03 7.109000000000000000e+03 1.070141041592826079e-05 6.895551008857519896e-05
7.109000000000000000e+03 7.110000000000000000e+03 1.716252861385034461e-04 1.315255365688497696e-03
7.110000000000000000e+03 7.111000000000000000e+03 1.147605117201669920e-04 1.090444932565689910e-03
7.111000000000000000e+03 7.112000000000000000e+03 1.023852307340168704e-04 8.557005970228308408e-04
7.112000000000000000e+03 7.113000000000000000e+03 8.502179656247086195e-05 6.248992796242358160e-04
7.113000000000000000e+03 7.114000000000000000e+03 6.358872047574585119e-05 3.849974985318265928e-04
7.114000000000000000e+03 7.115000000000000000e+03 4.292493407922690074e-05 2.012260158065949526e-04
7.115000000000000000e+03 7.116000000000000000e+03 3.469140176218620648e-05 1.187990002345071011e-04
7.116000000000000000e+03 7.117000000000000000e+03 2.665710371913392751e-05 8.983366478980707101e-05
7.117000000000000000e+03 7.118000000000000000e+03 4.074713306079736036e-05 2.004568450646152422e-04
7.118000000000000000e+03 7.119000000000000000e+03 1.643334012837629327e-05 6.436658975561715824e-05
7.119000000000000000e+03 7.120000000000000000e+03 1.300616936609983483e-05 4.777252537718166956e-05
7.120000000000000000e+03 7.121000000000000000e+03 1.032945273721649477e-05 3.639263994073893625e-05
7.121000000000000000e+03 7.122000000000000000e+03 8.775336461033530317e-06 3.046613339828636047e-05
7.122000000000000000e+03 7.123000000000000000e+03 7.275769573632498481e-06 2.415963466845510982e-05
7.123000000000000000e+03 7.124000000000000000e+03 6.473375883740380920e-06 1.938054592811749865e-05
7.124000000000000000e+03 7.125000000000000000e+03 5.722679036476407797e-06 1.870346405364233525e-05
7.125000000000000000e+03 7.126000000000000000e+03 5.099888110903401655e-06 1.588429864752655842e-05
7.126000000000000000e+03 7.127000000000000000e+03 4.553115678982947843e-06 1.517869430162728000e-05
7.127000000000000000e+03 7.128000000000000000e+03 3.985941547650018453e-06 1.299090794229929211e-05
7.128000000000000000e+03 7.129000000000000000e+03 3.444598727218258111e-06 1.138414909845688279e-05
7.129000000000000000e+03 7.130000000000000000e+03 2.948124218100202475e-06 1.082440933111642483e-05
7.130000000000000000e+03 7.131000000000000000e+03 2.750434940836455272e-06 1.585320868962620020e-05
7.131000000000000000e+03 7.132000000000000000e+03 2.416885474332353419e-06 8.299282688921937959e-06
7.132000000000000000e+03 7.133000000000000000e+03 2.704757541761665534e-06 3.613553444050729001e-05
7.133000000000000000e+03 7.134000000000000000e+03 2.734182037082247290e-06 1.836173817114976768e-05
7.134000000000000000e+03 7.135000000000000000e+03 1.972826333589377069e-06 9.324805420908714555e-06
7.135000000000000000e+03 7.136000000000000000e+03 1.597787468459292647e-06 6.567337094025937720e-06
7.136000000000000000e+03 7.137000000000000000e+03 1.358390428323587544e-06 5.223068286534376530e-06
7.137000000000000000e+03 7.138000000000000000e+03 1.212262249902857907e-06 4.646282012513887542e-06
7.138000000000000000e+03 7.139000000000000000e+03 1.082433625140808963e-06 7.007858820244132234e-06
7.139000000000000000e+03 7.140000000000000000e+03 1.330344703118693924e-04 7.973550879418082665e-04
7.140000000000000000e+03 7.141000000000000000e+03 2.796773734871296909e-05 2.283063807761613400e-04
7.141000000000000000e+03 7.142000000000000000e+03 3.763417645274401695e-05 1.924163633123718818e-04
7.142000000000000000e+03 7.143000000000000000e+03 1.323875520452671634e-05 7.595299644414248326e-05
7.143000000000000000e+03 7.144000000000000000e+03 7.683191047792039974e-06 5.704082402082569084e-05
7.144000000000000000e+03 7.145000000000000000e+03 7.775389994469941545e-06 4.546225205718262721e-05
7.145000000000000000e+03 7.146000000000000000e+03 5.312906954807913592e-06 3.560729261286626937e-05
7.146000000000000000e+03 7.147000000000000000e+03 4.174010310829593067e-06 2.733134295815369723e-05
7.147000000000000000e+03 7.148000000000000000e+03 3.729439347767894165e-06 2.199480759799124139e-05
7.148000000000000000e+03 7.149000000000000000e+03 2.674056184020234590e-06 1.674964117027785281e-05
7.149000000000000000e+03 7.150000000000000000e+03 2.413000454718340876e-06 1.318192612988570357e-05
7.150000000000000000e+03 7.151000000000000000e+03 2.179366504453365369e-06 1.007780790480461033e-05
7.151000000000000000e+03 7.152000000000000000e+03 1.590705293363603193e-06 7.445954470501642302e-06
7.152000000000000000e+03 7.153000000000000000e+03 1.224813601401390074e-06 5.793785161250573704e-06
7.153000000000000000e+03 7.154000000000000000e+03 9.408371295057162176e-07 4.436948496133433504e-06
7.154000000000000000e+03 7.155000000000000000e+03 7.146547025807930420e-07 3.586473795462741096e-06
7.155000000000000000e+03 7.156000000000000000e+03 5.833738470771751776e-07 2.842561372566946003e-06
7.156000000000000000e+03 7.157000000000000000e+03 4.868138990654833347e-07 2.243759704531192103e-06
7.157000000000000000e+03 7.158000000000000000e+03 4.146625603429636974e-07 1.815491637407845380e-06
7.158000000000000000e+03 7.159000000000000000e+03 3.377798219187437462e-07 1.432671477888671010e-06
7.159000000000000000e+03 7.160000000000000000e+03 2.758603962479426807e-07 1.155486141976800310e-06
7.160000000000000000e+03 7.161000000000000000e+03 2.455589389777522023e-07 9.335871608040687415e-07
