# w_1 w_2 DS VF c_1 c_2 u_1 u_2 fut_util_1_1 fut_util_1_2 fut_util_2_1 fut_util_2_2 pen_1 pen_2 pen_u_1 pen_u_2 
1.939912002713274575e+00 1.415498171904894464e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 6.900801848867237354e-01 1.999800009999999961e+00 1.661221392248559692e+00 1.999800009998055472e+01 9.401194649671779757e+00 9.182095357901815191e+00 1.316059562472421263e+01 0.000000000000000000e+00 0.000000000000000000e+00 5.034419065736121107e-02 0.000000000000000000e+00
1.939912002713274575e+00 1.415498171904894464e+00 1.000000000000000000e+00 1.059395705191877202e+00 1.000000000000000000e+00 3.791243179677403208e-01 1.999800009999999961e+00 1.231261817359595057e+00 1.999800009999313488e+01 7.796295221157221178e+00 1.246904586539302606e+01 1.363832848570982748e+01 0.000000000000000000e+00 0.000000000000000000e+00 5.034419130892466010e-02 0.000000000000000000e+00
9.186740142601055314e-01 1.841311227914572690e+00 0.000000000000000000e+00 1.789573091297500973e+00 1.983418436584936106e-01 1.000000000000000000e+00 8.905120398326499265e-01 1.999800009999999961e+00 7.936590650777617384e+00 1.048162627297672600e+01 1.627985727883857336e+01 1.951845420690430899e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.186740142601055314e-01 1.841311227914572690e+00 1.000000000000000000e+00 8.651665548464217981e-01 1.982910308241077890e-01 9.999999999997603028e-01 8.903976706504033167e-01 1.999800009999760153e+00 7.936717727650897558e+00 1.048136370635091019e+01 1.627957413690664978e+01 1.951845420690284527e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.289919241871746003e+00 1.582137562693650024e+00 0.000000000000000000e+00 1.673923106383310433e+00 3.532518773450821770e-01 5.296330074704920232e-01 1.188499945019007686e+00 1.455317947970795389e+00 1.260602174741021919e+01 1.442826899363684134e+01 1.478554049167451012e+01 1.636814508888135222e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.289919241871746003e+00 1.582137562693650024e+00 1.000000000000000000e+00 1.545811526656775348e+00 3.529067777588790755e-01 5.297499963734573214e-01 1.187919380176506223e+00 1.455478559131934135e+00 1.260666681945365575e+01 1.442860662055297105e+01 1.478545950254353514e+01 1.636796663203433155e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.571766309525234440e-01 7.021450307740542129e-01 0.000000000000000000e+00 1.982075590615441030e+00 4.877315757525974148e-16 1.320919864129748156e-01 4.877315757525975205e-12 7.266892529883574037e-01 3.489506455265890761e+00 6.506447118661877305e+00 4.633967346842053914e+00 7.473301727254880511e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.571766309525234440e-01 7.021450307740542129e-01 1.000000000000000000e+00 2.008894927313796153e+00 1.386615643064731651e-16 1.322124807097302679e-01 1.386615632175664689e-12 7.270211414264438066e-01 3.489506455273004626e+00 6.507434513257819297e+00 4.634424959755809148e+00 7.472932962323323380e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.162565577244596637e+00 5.764141399762320317e-01 0.000000000000000000e+00 8.108143186238137012e-01 2.214001250820232802e-02 1.409954777305279095e-16 2.973907117449218207e-01 1.409954777305279055e-12 1.340106039698428297e+01 4.431456962751216366e+00 3.577776307444336279e+00 5.590502336861232990e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.162565577244596637e+00 5.764141399762320317e-01 1.000000000000000000e+00 1.906807915168505341e+00 2.213347122910121895e-02 0.000000000000000000e+00 2.973467067993044166e-01 0.000000000000000000e+00 1.340110929137507867e+01 4.431470896251188840e+00 3.577837324833637922e+00 5.590502336863798938e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
