# w_1 w_2 DS VF CB_L CB_U R_DIFF c_1 c_2 u_1 u_2 fut_util_1_1 fut_util_1_2 fut_util_2_1 fut_util_2_2 pen_1 pen_2 pen_u_1 pen_u_2 
1.846632205546945737e+00 3.120806053522377166e+00 1.000000000000000000e+00 1.330156523682726188e-01 2.026697398900330960e+00 2.039333905836214100e+00 1.497703346435344163e-06 5.654277962967656224e-03 6.608234366451110064e-02 1.500935007440843127e-01 5.139170178109755405e-01 3.582947659530688167e+00 6.165692751510689185e+00 4.044187360846317247e+00 6.717995118100121843e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.124386274860705901e-08
2.022093680423158624e+00 3.358997559050060921e+00 1.000000000000000000e+00 1.254228614097430139e-01 1.923940561364029689e+00 2.126905161455456383e+00 1.548311125657313532e-06 9.750522061069143848e-03 1.102253961578917169e-01 1.642720040187765906e-01 6.642262773121072605e-01 3.944522522421026078e+00 6.696763180660859405e+00 4.301069089052336203e+00 7.098312552235726436e+00 0.000000000000000000e+00 5.639880366716640996e-05 0.000000000000000000e+00 8.447986113905166692e-06
2.150534544526168101e+00 3.549156276117863218e+00 1.000000000000000000e+00 1.133257787062587063e-01 1.891778383227687765e+00 2.134873174184829470e+00 1.611940134079424033e-06 1.455252261271117696e-02 1.226739514658106295e-01 2.381049516388543952e-01 6.990232775487299488e-01 4.125875282388001608e+00 7.024679661269473741e+00 4.823694878809521747e+00 7.500517687432226133e+00 0.000000000000000000e+00 2.668745399378159981e-06 0.000000000000000000e+00 3.179297005876296827e-05
2.411847439404760873e+00 3.750258843716113066e+00 1.000000000000000000e+00 9.945503623941798210e-02 1.902545597371707364e+00 2.096364475107128644e+00 1.687271632792287445e-06 4.368594086543477889e-02 1.343380814893944120e-01 3.949107879554312195e-01 7.326485197977452568e-01 4.534819897774841735e+00 7.400428614854051901e+00 5.129017360751499055e+00 7.886316320937126534e+00 0.000000000000000000e+00 0.000000000000000000e+00 7.245874930871747524e-06 2.476210322085384212e-05
2.267409948887420867e+00 3.700214307427025950e+00 0.000000000000000000e+00 1.159263119406048759e-01 1.906429223188688349e+00 2.125423400692521447e+00 1.054078550471044452e-06 2.501208790716629923e-02 1.347929243984943015e-01 3.095508803846960810e-01 7.379309806477031275e-01 4.302270215388807273e+00 7.227245480486414131e+00 5.082121731144155774e+00 7.783874523911614496e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.680576362347295267e-05
2.151135107694403636e+00 3.613622740243207065e+00 0.000000000000000000e+00 1.228840370008033034e-01 1.912269287178717692e+00 2.133498786822888960e+00 1.034434930628139380e-06 6.226397336109253978e-03 1.366303400328820472e-01 1.515540844849115054e-01 7.375381997053771510e-01 4.197302787634209942e+00 7.149785159042356675e+00 4.895797566658892208e+00 7.627467132528916949e+00 1.259755959238956681e-05 0.000000000000000000e+00 1.433965641883513054e-07 2.236126514518456062e-06
2.098651393817104971e+00 3.574892579521178781e+00 0.000000000000000000e+00 1.240585900037016742e-01 1.915280341767744865e+00 2.132836838239658306e+00 1.021155990477040782e-06 2.997953131612684542e-03 1.339444201911590970e-01 1.171536910581974650e-01 7.302502164578242860e-01 4.119388361242991792e+00 7.044676797057348061e+00 4.779551365193396073e+00 7.552219735281615165e+00 1.635153560729821844e-05 0.000000000000000000e+00 3.639330655069210597e-07 5.070870136534444862e-06
2.389775682596698037e+00 3.776109867640807582e+00 1.000000000000000000e+00 9.761763490777219943e-02 1.895287701562842653e+00 2.099947568252701569e+00 1.698024628648050575e-06 4.241580151115124236e-02 1.440717489452153499e-01 4.005225783082467239e-01 7.565360805468319683e-01 4.488579851990537328e+00 7.398793649298135655e+00 5.161545372254728647e+00 7.944795699051939941e+00 9.098686452748311641e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.244289925995268664e+00 3.699396824649067828e+00 0.000000000000000000e+00 1.177733263485949422e-01 1.910942089702533320e+00 2.124604562994656387e+00 1.051461624553442998e-06 1.979154012743802524e-02 1.342170434214167152e-01 2.760642177620740156e-01 7.358835593222370353e-01 4.281272863005792573e+00 7.225996362614544921e+00 5.085006423872985515e+00 7.790462033421843735e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.137639022124941312e-05
2.140636431502896286e+00 3.612998181307272461e+00 0.000000000000000000e+00 1.232302213623470699e-01 1.910230425570743629e+00 2.136230017153950111e+00 1.032256473006392370e-06 5.064543869645591126e-03 1.364922068251162024e-01 1.391804575112882691e-01 7.370504323847618666e-01 4.184371513257725717e+00 7.136645241047816057e+00 4.891361676758503307e+00 7.629846968222083525e+00 1.187041227258459793e-05 0.000000000000000000e+00 2.069294340292264208e-07 3.349918947550965830e-06
