#T1 T2 L2 LInf 
4.309000000000000000e+03 4.310000000000000000e+03 4.143267401999428331e-05 4.143766930145897161e-05
4.310000000000000000e+03 4.311000000000000000e+03 9.606964585480348416e-06 9.610780931344112984e-06
4.311000000000000000e+03 4.312000000000000000e+03 3.749409230120560264e-05 3.749753468862537646e-05
4.312000000000000000e+03 4.313000000000000000e+03 3.862193972713021280e-05 3.862481066605378432e-05
4.313000000000000000e+03 4.314000000000000000e+03 7.149286681549665686e-06 7.151730960121238511e-06
4.314000000000000000e+03 4.315000000000000000e+03 3.551402540475737135e-05 3.551630898238667701e-05
4.315000000000000000e+03 4.316000000000000000e+03 3.739127167129955323e-05 3.739311428281678396e-05
4.316000000000000000e+03 4.317000000000000000e+03 5.780830062970100677e-06 5.782252437965912160e-06
4.317000000000000000e+03 4.318000000000000000e+03 3.450293000776317895e-05 3.450422579812654811e-05
4.318000000000000000e+03 4.319000000000000000e+03 3.657242717358475520e-05 3.657359757053736812e-05
