# #T1 T2 L2 LInf sim_L2 sim_LInf
0.000000000000000000e+00 1.000000000000000000e+00 6.822679922650800588e-01 2.124792959386626379e+00 3.892168640196413953e-02 5.047150258314470062e-02
1.000000000000000000e+00 2.000000000000000000e+00 1.613439939089468533e-01 1.066971541698136683e+00 2.807002639019978013e-02 4.221473688606611208e-02
2.000000000000000000e+00 3.000000000000000000e+00 8.035512713904569004e-02 4.716282166183414781e-01 1.694410367927037808e-02 2.290841459820808917e-02
3.000000000000000000e+00 4.000000000000000000e+00 4.913469963637706606e-02 2.245567256525149991e-01 1.330330283680701206e-02 1.890397197471634788e-02
4.000000000000000000e+00 5.000000000000000000e+00 2.631537071466374250e-02 1.331447952866847140e-01 7.193335829320001915e-03 1.079568677854174201e-02
5.000000000000000000e+00 6.000000000000000000e+00 1.402920800378086932e-02 5.621939968524510001e-02 6.929932383094630430e-03 8.663284919569167603e-03
6.000000000000000000e+00 7.000000000000000000e+00 1.163615455377075419e-02 9.245029659605108474e-02 7.471469269908307190e-03 9.026750093331767713e-03
7.000000000000000000e+00 8.000000000000000000e+00 1.042371250588893135e-02 9.342155650424810442e-02 7.177971330642140407e-03 8.998414732176125003e-03
8.000000000000000000e+00 9.000000000000000000e+00 4.634122302412864783e-03 1.493970050325461006e-02 5.566561032708724002e-03 7.393475312799015035e-03
9.000000000000000000e+00 1.000000000000000000e+01 3.330617946487711249e-03 1.102535776999129594e-02 4.473486451760775098e-03 6.111517524245038344e-03
1.000000000000000000e+01 1.100000000000000000e+01 2.440749088951814534e-03 8.876842369446493602e-03 3.486922081616419290e-03 4.870631396037572794e-03
1.100000000000000000e+01 1.200000000000000000e+01 1.819266342231347800e-03 7.009060394766805299e-03 2.688707890973522207e-03 3.805372869166239423e-03
1.200000000000000000e+01 1.300000000000000000e+01 1.354701556868426193e-03 5.386859141574605256e-03 2.059871966942134446e-03 2.936511477553406264e-03
1.300000000000000000e+01 1.400000000000000000e+01 1.004068006211477834e-03 3.980403512215554239e-03 1.564110313718922434e-03 2.233291345864914929e-03
1.400000000000000000e+01 1.500000000000000000e+01 7.492842054015495194e-04 2.885917526267548633e-03 1.185979489845845726e-03 1.694304479888809455e-03
