# w_1 w_2 DS VF CB_L CB_U R_DIFF c_1 c_2 u_1 u_2 fut_util_1_1 fut_util_1_2 fut_util_2_1 fut_util_2_2 pen_1 pen_2 pen_u_1 pen_u_2 
3.386874212208418333e-01 6.152297494576849379e-01 1.000000000000000000e+00 1.302669169252466119e-01 0.000000000000000000e+00 0.000000000000000000e+00 8.983417390711295300e-07 8.715362747047095127e-07 3.267813517468604045e-02 1.419057453344585440e-05 3.420882835717261594e-01 3.379082664889898169e+00 6.130855321763128529e+00 4.263719257395454321e+00 6.839861143393321186e+00 0.000000000000000000e+00 1.644533302071204961e-08 0.000000000000000000e+00 7.333643056543770467e-09
4.263719257395453544e-01 6.839861143393319853e-01 1.000000000000000000e+00 1.218707684794018142e-01 0.000000000000000000e+00 0.000000000000000000e+00 9.085197313949292858e-07 2.311395978755903524e-02 1.298990989761385495e-01 2.812888636182540036e-01 7.033026040058624195e-01 4.067977196904843495e+00 6.779451021654972820e+00 4.414416321462586446e+00 7.172159895091025916e+00 6.351808761730949604e-05 1.645856963729177419e-04 6.524886277030491569e-06 7.183098724174684369e-06
4.414416321462585335e-01 7.172159895091024806e-01 1.000000000000000000e+00 1.109869863307015869e-01 0.000000000000000000e+00 0.000000000000000000e+00 8.637706663896810994e-07 2.824772615705761769e-02 1.128350784554037062e-01 3.037866932760391325e-01 6.536624511280986205e-01 4.186839788850068800e+00 7.027676263628681141e+00 4.700545796629901574e+00 7.638755579079959723e+00 4.158175494736373462e-04 0.000000000000000000e+00 6.002479645945534709e-06 7.112339288458530140e-06
4.186839788850068023e-01 7.027676263628679365e-01 0.000000000000000000e+00 1.342101564821613913e-01 0.000000000000000000e+00 0.000000000000000000e+00 1.139527160536560970e-06 7.994070641419881440e-03 1.387122031436318903e-01 1.262972316548598428e-01 7.296811684016548671e-01 4.134306187984281067e+00 6.919385850714198760e+00 4.550301624059684968e+00 7.392003856208968493e+00 0.000000000000000000e+00 2.916839805013893283e-04 4.253135326702170427e-06 6.401168437495459614e-06
4.134306187984280179e-01 6.919385850714196984e-01 0.000000000000000000e+00 1.334561821047208774e-01 0.000000000000000000e+00 0.000000000000000000e+00 1.137773841677420542e-06 8.735182683163644768e-03 1.374668378204803032e-01 1.347986521846094021e-01 7.276122239818727522e-01 4.096075915698428105e+00 6.852868589793645882e+00 4.470595918662641388e+00 7.269323323086711142e+00 0.000000000000000000e+00 2.862171547368952407e-04 9.292712572813192559e-06 1.096990807231427913e-05
4.470595918662640389e-01 7.269323323086709365e-01 1.000000000000000000e+00 1.073564145926133584e-01 0.000000000000000000e+00 0.000000000000000000e+00 8.582094228934294691e-07 1.997705791259563046e-02 1.151614094446696268e-01 2.314582738838690812e-01 6.602685209550653855e-01 4.284827319332347173e+00 7.180555980898153834e+00 4.728882574820483242e+00 7.732781298586507646e+00 3.839608753773617739e-04 0.000000000000000000e+00 5.707012333344176069e-06 5.537681008874195676e-06
4.728882574820482132e-01 7.732781298586506313e-01 1.000000000000000000e+00 9.049792222831154476e-02 0.000000000000000000e+00 0.000000000000000000e+00 7.437721286714049925e-07 1.184870311890406924e-02 1.566737937531741398e-01 1.881988874420275071e-01 7.718318915033934857e-01 4.643742675891155969e+00 7.513667622884107722e+00 5.001599201185975119e+00 8.150579243089559611e+00 3.270192945502292670e-05 0.000000000000000000e+00 4.588088195088470701e-06 0.000000000000000000e+00
5.001599201185974453e-01 8.150579243089557391e-01 1.000000000000000000e+00 7.484388651709172890e-02 0.000000000000000000e+00 0.000000000000000000e+00 1.536640456188894105e-07 3.971349821948610970e-02 1.618809412956960514e-01 3.706691346835446765e-01 7.839339793809271262e-01 4.710338594041100890e+00 7.574483925258427952e+00 5.532188791536206018e+00 8.628289282350838363e+00 1.196105989474272741e-04 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.532188791536204464e-01 8.628289282350836142e-01 1.000000000000000000e+00 5.615577072796118507e-02 0.000000000000000000e+00 0.000000000000000000e+00 1.984127442957641214e-07 4.820206243919311628e-02 1.764114469281270470e-01 4.091591762664528176e-01 8.195721375373379303e-01 5.255568542702492962e+00 8.647270783834706265e+00 6.591842152904066054e+00 9.101226105948800438e+00 5.250985664339083425e-05 2.759008689911471995e-04 5.759477935603132120e-06 0.000000000000000000e+00
6.591842152904064944e-01 9.101226105948798661e-01 1.000000000000000000e+00 3.523150461305024628e-02 0.000000000000000000e+00 0.000000000000000000e+00 5.456362542701270263e-06 2.865523147720616670e-02 2.327500170431124060e-01 2.142821113635409169e-01 9.446454438042231061e-01 6.733076841007019198e+00 9.292212641214200985e+00 7.034413162631190986e+00 9.413299509740971516e+00 6.579287001301156734e-05 2.150989435218547685e-04 1.842551949179146303e-05 0.000000000000000000e+00
