# w_1 w_2 VF 
9.000000000000000000e+00 1.000000000000000000e+01 -6.368451330099849095e-01
1.422155090851548787e+00 7.914994053395094653e+00 -5.121424195453379014e-01
4.772100403924535605e+00 2.127101400993526514e+00 -6.939434015943057865e-01
8.452956075413441184e+00 8.559332075695406772e+00 -6.337385132935324794e-02
9.196300186923441089e+00 1.573048857987293658e+00 -9.588924043776096973e-01
1.909878287728992596e+00 6.492119716760220705e+00 -6.270145028271922882e-02
8.097696874118053501e+00 4.661393093216471328e+00 -5.804633434672648029e-01
9.757424395901468372e+00 1.194109532850202937e+00 -1.000185836061938449e+00
5.724692355576105562e+00 9.415228049604884575e+00 -1.026432593277590843e-01
5.179937193518292737e+00 5.142797406289162154e+00 -1.354975194122509663e-01
4.105252152466336568e+00 6.799345598765262011e+00 3.923907095999235040e-02
1.826155079187278485e+00 5.625296213792707611e+00 -7.217435151191953224e-02
3.272192827446675167e+00 8.884008571969859602e+00 -4.693533926243387278e-02
1.599754803656983082e-01 2.923883581996800984e+00 -8.777030742907170335e-01
8.621442814009775191e+00 5.164481523587830525e-01 -9.967814718685034103e-01
6.667890589637041288e+00 6.898886337643246769e+00 -3.579579187963854991e-02
2.480700085857693526e+00 1.193718534212823590e+00 -7.893363005003357635e-01
6.877312722069437889e+00 1.379447287657292742e+00 -9.012518360177115273e-01
6.723671581037884870e+00 6.851108632481421878e+00 -5.497527749348374293e-02
3.719574487361258619e+00 5.986665920923234907e+00 3.837305675968494256e-02
6.431395964614994298e+00 8.332651727322301638e-02 -1.004346677093866047e+00
9.753067159253369312e+00 4.766789233648093926e+00 -8.969785573934390133e-01
8.870895721694227021e+00 8.505563055397850070e-01 -9.897251551614114629e-01
5.608447388691594204e-01 3.918681623136543557e+00 -7.339379124208722516e-01
3.947823120501109617e+00 7.976677984135676525e+00 4.244447060538814043e-02
5.626272288344088546e-01 3.580614333379941172e+00 -6.933402272532269706e-01
5.119024975866974803e-01 7.832212438265194976e+00 -9.258319622806436833e-01
5.935166373666873163e+00 7.694095845221766705e-01 -9.728789151179280115e-01
3.015199400110146311e+00 5.928481838458421471e+00 3.886367319495631634e-02
5.868096602294107234e-01 4.776834936730324443e+00 -7.407481147323951021e-01
7.160591295128209133e+00 1.722878623934631648e+00 -8.543401239289212246e-01
6.103876253081785386e+00 7.901921412191132532e+00 4.524856167424284870e-02
8.022002958301072795e+00 6.413160843697483848e+00 -3.793995840342497816e-01
1.410098637283054845e+00 6.099963094332660596e+00 -3.295889982686217579e-01
8.651477995706693847e+00 7.805988081506022525e+00 -3.323619101289765343e-01
5.225781785433566640e+00 7.128180196262182022e+00 4.488729903900035012e-02
3.933312025027086545e+00 8.418737975765267834e+00 3.963898221529804644e-02
7.112937699916653145e+00 6.861563740591423155e+00 -1.305377935917884091e-01
1.934394905456525038e+00 4.860774958491059117e+00 -5.556440491640834978e-03
8.524733447670925557e+00 8.970184148561447524e-01 -9.643445378022216241e-01
9.205335598228220562e+00 7.688488394934259951e+00 -5.974542428568457852e-01
5.792916401031510398e-01 1.169058176691569972e+00 -7.097159065562390623e-01
5.191936233015606028e+00 3.029199114263620540e+00 -5.422706956603282613e-01
5.666974746239993088e+00 6.142173621426073593e-01 -9.831251671250079704e-01
9.336953093711063190e+00 7.714309885294328151e-01 -1.000140126508444194e+00
8.573602988693519222e+00 4.200286608272458366e+00 -6.942219930908204439e-01
2.416099799465892595e+00 4.021401252090946454e-01 -9.642189044956577249e-01
3.188424214421170078e+00 9.197678342865710732e+00 -2.690787096706563908e-01
7.034083283514273255e+00 5.526934753383414112e+00 -3.524661051268633827e-01
2.532880045412773562e+00 8.628755999630852713e+00 -2.567109887116236777e-02
5.242256826793957103e+00 9.588571739812442374e+00 -4.241491095054443772e-01
8.280210309735807073e+00 1.668712992364256298e-01 -9.964845439090981305e-01
5.681069883517952057e+00 6.828975259397235043e+00 4.274745276410474304e-02
2.621648054429339236e+00 5.951024753231678233e+00 3.895440930751181696e-02
