#T1 T2 L2 LInf 
5.839000000000000000e+03 5.840000000000000000e+03 2.806364137320823856e-07 1.521442114426308972e-06
5.840000000000000000e+03 5.841000000000000000e+03 5.285272103669059629e-06 3.119454893871703239e-05
5.841000000000000000e+03 5.842000000000000000e+03 1.118410129808219739e-06 3.579794574336932790e-06
5.842000000000000000e+03 5.843000000000000000e+03 4.321667726202875067e-06 7.332482023257526184e-06
5.843000000000000000e+03 5.844000000000000000e+03 1.062195445364006284e-07 3.693000581387596703e-07
5.844000000000000000e+03 5.845000000000000000e+03 3.541395353359500759e-07 2.286247515704686426e-06
5.845000000000000000e+03 5.846000000000000000e+03 4.953507939262815886e-06 1.648759250909488479e-05
5.846000000000000000e+03 5.847000000000000000e+03 1.254695062552409702e-07 1.105763342630107250e-06
5.847000000000000000e+03 5.848000000000000000e+03 1.945705372103365354e-07 4.803468946772316859e-07
5.848000000000000000e+03 5.849000000000000000e+03 1.394972938345872001e-07 6.961062638855487539e-07
5.849000000000000000e+03 5.850000000000000000e+03 6.155027343192982694e-04 3.367174767372735356e-03
5.850000000000000000e+03 5.851000000000000000e+03 7.732286476023550871e-05 6.707280742563534459e-04
5.851000000000000000e+03 5.852000000000000000e+03 1.887405832159459544e-04 6.549350379435483040e-04
5.852000000000000000e+03 5.853000000000000000e+03 1.967271185150109582e-05 1.281685117258892393e-04
5.853000000000000000e+03 5.854000000000000000e+03 6.529656359926731243e-06 2.537268357955033935e-05
5.854000000000000000e+03 5.855000000000000000e+03 8.144885761839516436e-06 2.442370975281192878e-05
5.855000000000000000e+03 5.856000000000000000e+03 1.476247273224055512e-05 5.318180774999259607e-05
5.856000000000000000e+03 5.857000000000000000e+03 5.305578621878243491e-06 2.341509913081502917e-05
5.857000000000000000e+03 5.858000000000000000e+03 9.473010835505638223e-05 1.899000121115392643e-04
5.858000000000000000e+03 5.859000000000000000e+03 1.709765806853064639e-06 4.896427601891708745e-06
5.859000000000000000e+03 5.860000000000000000e+03 3.268983086233170606e-05 5.299771586675794936e-05
5.860000000000000000e+03 5.861000000000000000e+03 5.223530617104985966e-07 1.122973796528823324e-06
5.861000000000000000e+03 5.862000000000000000e+03 1.379945563745628615e-06 8.503507639528591183e-06
5.862000000000000000e+03 5.863000000000000000e+03 2.308593683956076866e-06 1.150594188689615401e-05
5.863000000000000000e+03 5.864000000000000000e+03 2.306943972017425313e-06 1.452215249315844174e-05
5.864000000000000000e+03 5.865000000000000000e+03 6.293632654109405795e-07 2.235616262374918114e-06
5.865000000000000000e+03 5.866000000000000000e+03 8.090158736713750285e-07 2.791396621256300304e-06
5.866000000000000000e+03 5.867000000000000000e+03 1.029243979060905909e-06 3.636611790236841674e-06
5.867000000000000000e+03 5.868000000000000000e+03 9.152820510866064853e-06 4.205803953984964846e-05
5.868000000000000000e+03 5.869000000000000000e+03 9.353874465512630843e-07 4.316999381316856922e-06
5.869000000000000000e+03 5.870000000000000000e+03 6.738457919228881297e-07 3.163258822911788384e-06
5.870000000000000000e+03 5.871000000000000000e+03 6.211867320658060125e-07 2.688881247772810042e-06
5.871000000000000000e+03 5.872000000000000000e+03 1.039102843635950190e-06 1.167902748770164713e-05
5.872000000000000000e+03 5.873000000000000000e+03 2.771329995142986477e-06 7.674127111773756675e-06
5.873000000000000000e+03 5.874000000000000000e+03 1.071577818839325626e-06 2.695498265968023791e-06
5.874000000000000000e+03 5.875000000000000000e+03 1.138420147046320487e-05 2.083731303077503811e-05
5.875000000000000000e+03 5.876000000000000000e+03 1.946328837052436212e-07 4.241510837860051307e-07
5.876000000000000000e+03 5.877000000000000000e+03 6.459930674409551725e-07 7.448943600240255528e-06
5.877000000000000000e+03 5.878000000000000000e+03 2.275749654323130730e-07 9.460184941892759573e-07
5.878000000000000000e+03 5.879000000000000000e+03 2.785909476685544787e-07 8.693644038965532805e-07
5.879000000000000000e+03 5.880000000000000000e+03 2.551246868006709981e-03 9.934869655155432328e-03
5.880000000000000000e+03 5.881000000000000000e+03 4.905996815600294257e-04 1.613000510933643335e-03
5.881000000000000000e+03 5.882000000000000000e+03 1.341047223982468962e-04 3.160310218523703198e-04
5.882000000000000000e+03 5.883000000000000000e+03 1.503156332152734285e-05 1.169046328445941696e-04
5.883000000000000000e+03 5.884000000000000000e+03 1.263254855371919350e-04 4.250073379702630277e-04
5.884000000000000000e+03 5.885000000000000000e+03 9.321457045180432969e-05 3.057185020890645683e-04
5.885000000000000000e+03 5.886000000000000000e+03 3.319659736155590010e-06 2.045883833140032463e-05
5.886000000000000000e+03 5.887000000000000000e+03 3.613987374009243101e-05 5.984786643918758642e-05
5.887000000000000000e+03 5.888000000000000000e+03 3.459432768714604571e-06 4.356498954887777373e-05
5.888000000000000000e+03 5.889000000000000000e+03 4.293159236303002927e-06 3.605831407034916096e-05
5.889000000000000000e+03 5.890000000000000000e+03 6.372494953756522250e-05 1.976942031890578048e-04
5.890000000000000000e+03 5.891000000000000000e+03 2.550506794314964218e-05 4.914375234168911056e-05
5.891000000000000000e+03 5.892000000000000000e+03 1.539754135363303255e-06 1.379192187996789385e-05
5.892000000000000000e+03 5.893000000000000000e+03 1.160829505950734506e-06 3.207007873025608382e-06
5.893000000000000000e+03 5.894000000000000000e+03 1.137394762219101124e-06 2.904398425124345487e-06
5.894000000000000000e+03 5.895000000000000000e+03 8.931590875250684270e-07 4.886657864153732865e-06
5.895000000000000000e+03 5.896000000000000000e+03 7.080770671625371255e-07 2.127534700419679887e-06
5.896000000000000000e+03 5.897000000000000000e+03 8.889944977613353707e-07 1.971053224161227434e-06
5.897000000000000000e+03 5.898000000000000000e+03 8.687528725073999292e-07 2.237270878205498005e-06
5.898000000000000000e+03 5.899000000000000000e+03 3.618372116390827629e-05 2.726210052019329777e-04
5.899000000000000000e+03 5.900000000000000000e+03 1.729818208280073735e-05 8.959196527765292406e-05
5.900000000000000000e+03 5.901000000000000000e+03 9.809682506607452361e-07 4.329350367659114089e-06
5.901000000000000000e+03 5.902000000000000000e+03 5.899756543613352065e-07 2.315610497847937337e-06
5.902000000000000000e+03 5.903000000000000000e+03 4.226606238295328074e-07 1.403333302059088245e-06
5.903000000000000000e+03 5.904000000000000000e+03 3.412197047607621312e-07 1.019050970962224062e-06
5.904000000000000000e+03 5.905000000000000000e+03 3.327425591254926085e-07 1.762487935584864843e-06
5.905000000000000000e+03 5.906000000000000000e+03 1.187547418828236015e-05 4.911729187280594421e-05
5.906000000000000000e+03 5.907000000000000000e+03 2.383194711510344005e-06 1.905095327142401941e-05
5.907000000000000000e+03 5.908000000000000000e+03 6.875662524408460977e-07 2.807919732232017406e-06
5.908000000000000000e+03 5.909000000000000000e+03 2.111814961303097616e-07 7.199003977055500083e-07
5.909000000000000000e+03 5.910000000000000000e+03 4.862556918101506144e-04 2.774000109359403467e-03
5.910000000000000000e+03 5.911000000000000000e+03 1.143762765484614217e-04 7.343212302487978028e-04
5.911000000000000000e+03 5.912000000000000000e+03 4.544624937348304997e-05 3.216151637898639177e-04
5.912000000000000000e+03 5.913000000000000000e+03 7.756301612266857824e-06 3.420849813060893382e-05
5.913000000000000000e+03 5.914000000000000000e+03 9.670233715781474906e-06 7.937006871878765288e-05
5.914000000000000000e+03 5.915000000000000000e+03 4.129826310301223995e-05 1.467048274076111455e-04
5.915000000000000000e+03 5.916000000000000000e+03 7.095325854873788644e-06 2.706991132223002873e-05
5.916000000000000000e+03 5.917000000000000000e+03 1.392563198348598596e-04 2.932470487314088885e-04
5.917000000000000000e+03 5.918000000000000000e+03 3.381242617148889577e-06 1.761755901173969033e-05
