# w_1 w_2 DS VF CB_L CB_U R_DIFF c_1 c_2 u_1 u_2 fut_util_1_1 fut_util_1_2 fut_util_2_1 fut_util_2_2 pen_1 pen_2 pen_u_1 pen_u_2 
8.647558551969636653e+01 9.268524868682523277e+01 1.000000000000000000e+00 8.784687652596363527e-01 0.000000000000000000e+00 0.000000000000000000e+00 3.906313244807567729e-07 1.816429900888816285e-05 8.130256548000147632e-06 6.113724130285547176e-05 2.249804372631558635e-04 8.595518232188271668e+01 9.263015814156753436e+01 8.795527974840079821e+01 9.431838717169328845e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
8.795527974840079821e+01 9.431838717169328845e+01 1.000000000000000000e+00 8.784585672145301949e-01 0.000000000000000000e+00 0.000000000000000000e+00 4.198481654932557186e-07 1.757425919428722005e-02 6.215591178467150257e-03 1.169576689211766496e-01 1.404884182123886660e-01 8.734719333786298989e+01 9.414193995456145103e+01 8.952248920121778042e+01 9.583318054125800245e+01 6.697693048538670701e-03 5.235032618463295040e-03 1.820328150656611021e-02 1.155438802927205577e-02
8.952248920121778042e+01 9.583318054125800245e+01 1.000000000000000000e+00 8.780681507499439320e-01 0.000000000000000000e+00 0.000000000000000000e+00 4.501444345669428917e-07 2.159479466629694866e-02 2.125062112199138653e-02 1.110808372533838018e-01 2.797097760749274187e-01 8.894301404870263639e+01 9.617850302725162237e+01 9.134131365550845771e+01 9.722149133256344555e+01 1.092989496201928618e-02 8.545453968863123140e-03 2.970574396188471744e-02 1.885548444908108356e-02
9.134131365550845771e+01 9.722149133256344555e+01 1.000000000000000000e+00 8.764038893568613098e-01 0.000000000000000000e+00 0.000000000000000000e+00 4.809260008456864838e-07 1.021198925424032233e-01 3.992258494810663194e-02 4.892479861790968165e-01 3.752148728712612069e-01 9.061154685462093994e+01 9.754417410922447118e+01 9.321380937285515245e+01 9.848456154107618943e+01 3.484702834858948578e-02 2.726576735678325203e-02 9.470876942699110734e-02 6.011563656169277570e-02
9.321380937285515245e+01 9.848456154107618943e+01 1.000000000000000000e+00 8.742712657891553718e-01 0.000000000000000000e+00 0.000000000000000000e+00 5.012636213869240509e-07 5.683471230700137822e-02 5.502537366059101487e-02 2.839683195494463464e-01 4.401982315805170742e-01 9.260085725108041288e+01 9.955004349233013272e+01 9.487066178217666845e+01 9.964070674268120342e+01 5.382201291898185830e-02 4.212418444925251915e-02 1.462798078998915619e-01 9.284993901910260083e-02
9.487066178217666845e+01 9.964070674268120342e+01 1.000000000000000000e+00 8.718230777100646200e-01 0.000000000000000000e+00 0.000000000000000000e+00 5.294271290050707740e-07 3.461301363937138720e-02 6.614939891195170674e-02 1.587094225714977824e-01 4.856209206528063760e-01 9.455990022681149298e+01 1.015811302117270571e+02 9.624378083426988439e+01 1.007298710314791350e+02 6.599077586699592102e-02 5.165726644256356248e-02 1.793526011951492583e-01 1.138426268645895134e-01
9.624378083426988439e+01 1.007298710314791492e+02 1.000000000000000000e+00 8.692683894100574626e-01 0.000000000000000000e+00 0.000000000000000000e+00 5.618047914026937336e-07 2.730025684493928365e-02 7.394279789534863312e-02 1.138518306636713273e-01 5.177153557378204596e-01 9.611359581227085869e+01 1.030280024613003462e+02 9.736091937221199544e+01 1.017885399842694483e+02 6.997010910951589890e-02 5.477789320801733364e-02 1.901678062082020337e-01 1.207074878542497287e-01
9.736091937221199544e+01 1.017885399842694483e+02 1.000000000000000000e+00 8.665026823616330809e-01 0.000000000000000000e+00 0.000000000000000000e+00 5.980474434474478813e-07 2.473835915000312594e-02 7.951539454948353125e-02 1.435822739584733387e-01 5.419109446171503919e-01 9.728903939391830136e+01 1.041056255596632099e+02 9.828739845813556997e+01 1.028424229767149143e+02 6.736817059687910669e-02 5.274020400597205505e-02 1.830961445686448419e-01 1.162188041760420787e-01
9.828739845813556997e+01 1.028424229767149001e+02 1.000000000000000000e+00 8.634956590776035057e-01 0.000000000000000000e+00 0.000000000000000000e+00 6.382022550431104943e-07 2.841030329216865866e-02 8.301050878187510307e-02 1.967103001606071988e-01 5.584231768697485165e-01 9.817849070970831349e+01 1.050202525441456629e+02 9.907835100199862666e+01 1.039103235533447958e+02 6.036989495335125938e-02 4.725888437390850239e-02 1.640759266481673639e-01 1.041458710579456493e-01
9.907835100199862666e+01 1.039103235533447958e+02 1.000000000000000000e+00 8.603090085851046176e-01 0.000000000000000000e+00 0.000000000000000000e+00 6.824074121882612414e-07 3.596705292591240166e-02 8.480316546799748778e-02 2.797643740032325077e-01 5.688355038936627750e-01 9.885702206726894303e+01 1.058600263760475571e+02 9.975844524222885923e+01 1.050024668318443446e+02 4.992647930661069794e-02 3.908183273195924012e-02 1.356923573769755753e-01 8.612962706644372579e-02
9.975844524222885923e+01 1.050024668318443446e+02 1.000000000000000000e+00 8.569289312850920659e-01 0.000000000000000000e+00 0.000000000000000000e+00 7.309389929337654704e-07 3.707573182459227706e-02 8.736143836707732646e-02 3.121393534659743230e-01 5.813999323189698032e-01 9.936525367710503076e+01 1.066119030378284407e+02 1.003355302834248164e+02 1.061217152828772896e+02 3.707375246237825522e-02 2.901973346299772938e-02 1.007606572985729476e-01 6.395701102356182721e-02
1.003355302834248164e+02 1.061217152828773038e+02 1.000000000000000000e+00 8.534003165408816649e-01 0.000000000000000000e+00 0.000000000000000000e+00 7.822654959590869287e-07 2.734604434520439969e-02 9.374199850194742112e-02 2.560794799393479870e-01 6.053148597282920207e-01 9.976884762240619864e+01 1.072404161162636740e+02 1.008151484624226981e+02 1.072710161354231531e+02 2.289185343790938604e-02 1.791809252145430686e-02 6.221647520597603509e-02 3.949140249688282145e-02
1.008151484624226981e+02 1.072710161354231531e+02 1.000000000000000000e+00 8.498640278056872610e-01 0.000000000000000000e+00 0.000000000000000000e+00 8.368818861459670959e-07 1.630996171743129275e-02 9.839005108206322348e-02 2.065955515433197665e-01 6.231418232202763363e-01 1.001389199154542382e+02 1.078282696774399056e+02 1.012354755278199434e+02 1.084687290881809645e+02 8.017285631991714900e-03 6.275175860483026002e-03 2.178972771597362246e-02 1.383085234998565616e-02
1.012354755278199434e+02 1.084687290881809645e+02 1.000000000000000000e+00 8.461110565906766467e-01 0.000000000000000000e+00 0.000000000000000000e+00 8.938460169407477998e-07 1.185912624508801000e-02 1.020026309963988354e-01 2.029648223252801253e-01 6.361765576877154160e-01 1.004448207075101180e+02 1.082739455062606595e+02 1.021065337185886648e+02 1.097347863757986772e+02 5.613838062067874612e-04 4.392950383120125535e-04 1.525753360486742372e-03 9.684589520312925082e-04
1.021065337185886648e+02 1.097347863757986630e+02 1.000000000000000000e+00 8.421091366766773056e-01 0.000000000000000000e+00 0.000000000000000000e+00 9.543344289620533165e-07 3.351787299800160214e-02 1.168692273677702786e-01 3.209111385168958996e-01 6.808451642105275425e-01 1.011261343399786767e+02 1.086073152157928092e+02 1.033491993014640684e+02 1.110175474857748412e+02 2.524368719117812965e-03 1.975599120465007519e-03 6.860839191699635853e-03 4.354860819401673577e-03
1.033491993014640684e+02 1.110175474857748554e+02 1.000000000000000000e+00 8.380959050441343372e-01 0.000000000000000000e+00 0.000000000000000000e+00 1.026030604571544220e-06 9.515278406294323810e-02 1.215946441188524574e-01 5.917656137020989027e-01 6.953252955024815662e-01 1.020644386955358129e+02 1.101391019066751369e+02 1.050339847799472182e+02 1.122974771810601311e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.050339847799472324e+02 1.122974771810601169e+02 1.000000000000000000e+00 8.336217413450013325e-01 0.000000000000000000e+00 0.000000000000000000e+00 1.107333337180130753e-06 9.849578533567443506e-02 1.427988010281335818e-01 6.185702790285046992e-01 7.542111603503727224e-01 1.038263567155855043e+02 1.123355647555363817e+02 1.060264712537738347e+02 1.134813909195400043e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.060264712537738347e+02 1.134813909195400043e+02 1.000000000000000000e+00 8.293764142370765313e-01 0.000000000000000000e+00 0.000000000000000000e+00 1.200928317300885721e-06 1.120295874543476150e-01 1.320459216106701916e-01 6.584668729885183591e-01 7.247613047934322594e-01 1.048135023398283323e+02 1.133128763610490921e+02 1.063796982611002875e+02 1.147249168026366846e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.063796982611002875e+02 1.147249168026366846e+02 1.000000000000000000e+00 8.247683185057312905e-01 0.000000000000000000e+00 0.000000000000000000e+00 1.307168493935273145e-06 8.381515156470391303e-02 1.502459281619277220e-01 5.815684352250167777e-01 7.730441328067101381e-01 1.050329354547132965e+02 1.137944019992286826e+02 1.062486521223950149e+02 1.160422934045999028e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.062486521223950149e+02 1.160422934045999170e+02 1.000000000000000000e+00 8.197140096542288035e-01 0.000000000000000000e+00 0.000000000000000000e+00 1.437827201540465587e-06 7.639720637755340049e-02 1.574027645403877074e-01 5.570725569475400984e-01 7.919420105892882589e-01 1.045903489393062529e+02 1.135281231772804347e+02 1.044377274129719950e+02 1.175115057244744179e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.044377274129719950e+02 1.175115057244744321e+02 1.000000000000000000e+00 8.137465689932263935e-01 0.000000000000000000e+00 0.000000000000000000e+00 1.588789886640209615e-06 3.474778058919245072e-02 1.673683943891131065e-01 3.853202015177094042e-01 8.172295444882671234e-01 1.021466009748629489e+02 1.106225182320441576e+02 1.046818760458927358e+02 1.193580317940252229e+02 5.253625526286317959e-04 4.100535204720062721e-04 1.427853757903857490e-03 9.063287967618349761e-04
1.046818760458927358e+02 1.193580317940252229e+02 1.000000000000000000e+00 8.063042613090964927e-01 0.000000000000000000e+00 0.000000000000000000e+00 1.766875355478253266e-06 3.589329567564882723e-02 1.716331348176822758e-01 3.835131844884931418e-01 8.281634620411786329e-01 1.020244429660878041e+02 1.105548982967674334e+02 1.069125993958707284e+02 1.213967786687752977e+02 1.786158572349698381e-03 1.396041085938756754e-03 4.854500259133448514e-03 3.081377831925580235e-03
1.069125993958707426e+02 1.213967786687752977e+02 1.000000000000000000e+00 7.972218505908150732e-01 0.000000000000000000e+00 0.000000000000000000e+00 1.975458265010081057e-06 7.560562482902635772e-02 1.679529349647577163e-01 5.540460950570735843e-01 8.180546967915951484e-01 1.041954037309281063e+02 1.127271107412616686e+02 1.105244313454460752e+02 1.234237538866664750e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.105244313454460894e+02 1.234237538866664607e+02 1.000000000000000000e+00 7.891140202177990837e-01 0.000000000000000000e+00 0.000000000000000000e+00 2.245359277037428382e-06 8.567038884853372949e-02 1.803787337191806728e-01 5.504890444367724900e-01 8.473518680481966214e-01 1.082933189609152720e+02 1.181455945015539868e+02 1.097431252566411786e+02 1.252641290455041343e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.097431252566411786e+02 1.252641290455041201e+02 1.000000000000000000e+00 7.816359916287649590e-01 0.000000000000000000e+00 0.000000000000000000e+00 2.485608022244255138e-06 4.508082899317965991e-02 1.825545105173791427e-01 3.826526017206934860e-01 8.526658536308211467e-01 1.068663595355122027e+02 1.160088205736267355e+02 1.129971784909648704e+02 1.274163584402596427e+02 3.302721541421631268e-03 2.585503584738677030e-03 8.976279539008785724e-03 5.697615895891905424e-03
1.068663595355121885e+02 1.160088205736267497e+02 0.000000000000000000e+00 8.340365016010968802e-01 0.000000000000000000e+00 0.000000000000000000e+00 9.320549959832831191e-07 6.538758643174874541e-02 1.635485577646007549e-01 5.086199368425265988e-01 8.119947254871022757e-01 1.053748895803353776e+02 1.143771702950334941e+02 1.047872124154809086e+02 1.173761173824511559e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.053748895803353776e+02 1.143771702950335083e+02 0.000000000000000000e+00 8.373322367615347872e-01 0.000000000000000000e+00 0.000000000000000000e+00 8.511675251302822828e-07 6.592025929028083597e-02 1.656105315411235401e-01 5.203706502874534401e-01 8.091188213466167234e-01 1.038955433889871642e+02 1.130144616770594439e+02 1.067853131889395826e+02 1.157295386811151587e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
