#T1 T2 L2 LInf 
4.279000000000000000e+03 4.280000000000000000e+03 4.701528348971122139e-04 1.692007742340550288e-03
4.280000000000000000e+03 4.281000000000000000e+03 3.485193347098106370e-04 1.306631378758390041e-03
4.281000000000000000e+03 4.282000000000000000e+03 3.203668443801562784e-04 2.944524622565773686e-03
4.282000000000000000e+03 4.283000000000000000e+03 2.312740024226881980e-04 2.519130335912164037e-03
4.283000000000000000e+03 4.284000000000000000e+03 8.362600169144020277e-05 1.217216688509599291e-03
4.284000000000000000e+03 4.285000000000000000e+03 6.413237683555814833e-05 3.290679816161299590e-04
4.285000000000000000e+03 4.286000000000000000e+03 1.160240701496410728e-04 8.899932351698721300e-04
4.286000000000000000e+03 4.287000000000000000e+03 1.131967233141105569e-04 3.172642889072458273e-04
4.287000000000000000e+03 4.288000000000000000e+03 4.443206967209659423e-05 3.934122801528427038e-04
4.288000000000000000e+03 4.289000000000000000e+03 2.214354211224974119e-04 1.215832207724001218e-03
4.289000000000000000e+03 4.290000000000000000e+03 1.877917142567812588e-03 7.469647726133061064e-03
4.290000000000000000e+03 4.291000000000000000e+03 9.085715775932354460e-04 3.751692742147844963e-03
4.291000000000000000e+03 4.292000000000000000e+03 4.785496889807595855e-04 1.059682984680943929e-03
4.292000000000000000e+03 4.293000000000000000e+03 2.404195954199515872e-04 5.398098858564403212e-04
4.293000000000000000e+03 4.294000000000000000e+03 7.254368998310745998e-05 5.409515776461672459e-04
4.294000000000000000e+03 4.295000000000000000e+03 9.744453689358251397e-05 2.595619442260490781e-04
4.295000000000000000e+03 4.296000000000000000e+03 1.031610833642821493e-05 5.661522845151172186e-05
4.296000000000000000e+03 4.297000000000000000e+03 1.017909446341072095e-04 3.457630824363112118e-04
4.297000000000000000e+03 4.298000000000000000e+03 7.453071073883167294e-05 2.103568574383445045e-04
4.298000000000000000e+03 4.299000000000000000e+03 2.482515026852797463e-06 3.731377281925069874e-05
4.299000000000000000e+03 4.300000000000000000e+03 1.830517471936732462e-04 9.450603471537965487e-04
4.300000000000000000e+03 4.301000000000000000e+03 5.291463772147246038e-05 2.203215030946411896e-04
4.301000000000000000e+03 4.302000000000000000e+03 3.275851044968115691e-04 3.076613850204918364e-03
4.302000000000000000e+03 4.303000000000000000e+03 3.828728024741716697e-04 3.093621653255788397e-03
4.303000000000000000e+03 4.304000000000000000e+03 3.368179207011973001e-04 1.165414094859038409e-03
4.304000000000000000e+03 4.305000000000000000e+03 1.668983820861041976e-04 8.088464849836147922e-04
4.305000000000000000e+03 4.306000000000000000e+03 2.916674472034580870e-03 4.249195437308198736e-02
4.306000000000000000e+03 4.307000000000000000e+03 2.735206998697804152e-03 3.867298348849323997e-02
4.307000000000000000e+03 4.308000000000000000e+03 9.491657885771372614e-05 3.379634263339992891e-04
4.308000000000000000e+03 4.309000000000000000e+03 5.107475517472568314e-05 1.618978816030670366e-04
4.309000000000000000e+03 4.310000000000000000e+03 2.965460116613538382e-05 8.347335810755273137e-05
4.310000000000000000e+03 4.311000000000000000e+03 3.863161608993662173e-06 4.640494095033239930e-05
4.311000000000000000e+03 4.312000000000000000e+03 1.516282830074395927e-06 1.111312049950312009e-05
4.312000000000000000e+03 4.313000000000000000e+03 5.098982140339795548e-06 5.215303447185737568e-05
4.313000000000000000e+03 4.314000000000000000e+03 6.362324433125632838e-05 1.708595570743854665e-04
4.314000000000000000e+03 4.315000000000000000e+03 1.900158001143728194e-06 8.985613024165790410e-06
4.315000000000000000e+03 4.316000000000000000e+03 1.938093348666466415e-06 9.405404718470781913e-06
4.316000000000000000e+03 4.317000000000000000e+03 2.232727955299657071e-06 1.117351398598693998e-05
4.317000000000000000e+03 4.318000000000000000e+03 2.492609351245334417e-06 1.196504685704585650e-05
4.318000000000000000e+03 4.319000000000000000e+03 2.362865665591072943e-04 2.639980079834605177e-03
4.319000000000000000e+03 4.320000000000000000e+03 2.167674201352951316e-03 1.021700290418900772e-02
4.320000000000000000e+03 4.321000000000000000e+03 9.917663170134986676e-05 6.786388518909927149e-04
4.321000000000000000e+03 4.322000000000000000e+03 4.313879757654974631e-05 1.843117425038443154e-04
4.322000000000000000e+03 4.323000000000000000e+03 3.469937945370658904e-05 1.698669093655560990e-04
4.323000000000000000e+03 4.324000000000000000e+03 2.685528553049588697e-05 1.210867882166481865e-04
4.324000000000000000e+03 4.325000000000000000e+03 2.284363439663398464e-05 9.168977113143065151e-05
4.325000000000000000e+03 4.326000000000000000e+03 1.952140696135876857e-05 8.821514891254110633e-05
4.326000000000000000e+03 4.327000000000000000e+03 1.637217669448320782e-05 5.636115340091290795e-05
4.327000000000000000e+03 4.328000000000000000e+03 1.475977859291321075e-05 4.805939806688711935e-05
4.328000000000000000e+03 4.329000000000000000e+03 1.545871280394046292e-04 2.037049625292846125e-03
4.329000000000000000e+03 4.330000000000000000e+03 1.143431242579741759e-04 9.535091129177122437e-04
4.330000000000000000e+03 4.331000000000000000e+03 6.588479170723645295e-05 5.076540977380419048e-04
4.331000000000000000e+03 4.332000000000000000e+03 4.203231256744683302e-05 2.296213966621490931e-04
4.332000000000000000e+03 4.333000000000000000e+03 3.313155086159620590e-04 2.690347485999429120e-03
4.333000000000000000e+03 4.334000000000000000e+03 2.419778613632173156e-04 2.480702688895029557e-03
4.334000000000000000e+03 4.335000000000000000e+03 1.558381467123430173e-03 1.220717822738269162e-02
4.335000000000000000e+03 4.336000000000000000e+03 1.369836689668723316e-03 7.594604689798437579e-03
4.336000000000000000e+03 4.337000000000000000e+03 3.783266876776415115e-04 3.102362286329279299e-03
4.337000000000000000e+03 4.338000000000000000e+03 2.308040997919120953e-03 2.235972556395365851e-02
4.338000000000000000e+03 4.339000000000000000e+03 6.981161266738844171e-04 2.852106988223204742e-03
4.339000000000000000e+03 4.340000000000000000e+03 7.048895772898574035e-04 2.888180742115018917e-03
4.340000000000000000e+03 4.341000000000000000e+03 9.862150076834296062e-05 4.604898892417738730e-04
4.341000000000000000e+03 4.342000000000000000e+03 7.511702876328136777e-05 2.559003915955158741e-04
4.342000000000000000e+03 4.343000000000000000e+03 5.979015302794642942e-05 1.695258208168928761e-04
4.343000000000000000e+03 4.344000000000000000e+03 6.313236016497673193e-05 3.151258522614854810e-04
4.344000000000000000e+03 4.345000000000000000e+03 4.229399759913811353e-05 1.913030064070758056e-04
4.345000000000000000e+03 4.346000000000000000e+03 3.140695258169425361e-05 1.032355652917522340e-04
4.346000000000000000e+03 4.347000000000000000e+03 4.988201269611720965e-05 4.065531735462249528e-04
4.347000000000000000e+03 4.348000000000000000e+03 2.811601909956018330e-05 1.754118611357007701e-04
4.348000000000000000e+03 4.349000000000000000e+03 4.642455865295691737e-05 2.900076458240431732e-04
4.349000000000000000e+03 4.350000000000000000e+03 2.862370070011356453e-03 2.262542819022149432e-02
4.350000000000000000e+03 4.351000000000000000e+03 8.771855128555995119e-04 2.969572316276758439e-03
4.351000000000000000e+03 4.352000000000000000e+03 2.181556662794499753e-04 7.792978785901786675e-04
4.352000000000000000e+03 4.353000000000000000e+03 9.323283038392210986e-04 6.489811209352652245e-03
4.353000000000000000e+03 4.354000000000000000e+03 5.257360374548924412e-04 4.445566789563476853e-03
4.354000000000000000e+03 4.355000000000000000e+03 1.410271930191850300e-04 7.255989978725677124e-04
4.355000000000000000e+03 4.356000000000000000e+03 4.891082426935912776e-04 1.874895393675318159e-03
4.356000000000000000e+03 4.357000000000000000e+03 2.066815646073720948e-04 4.071580008175598535e-04
4.357000000000000000e+03 4.358000000000000000e+03 4.286962666857212256e-05 1.814581402475379040e-04
4.358000000000000000e+03 4.359000000000000000e+03 6.279800897592237232e-05 2.707364130153006075e-04
4.359000000000000000e+03 4.360000000000000000e+03 4.318018920432594988e-05 1.013076502430508888e-04
4.360000000000000000e+03 4.361000000000000000e+03 1.702016211117201401e-04 6.594577624125265696e-04
4.361000000000000000e+03 4.362000000000000000e+03 1.126037573744990462e-04 5.022441187468051384e-04
4.362000000000000000e+03 4.363000000000000000e+03 4.383977635566344347e-05 5.068819033825062124e-04
4.363000000000000000e+03 4.364000000000000000e+03 1.473496987135692362e-05 5.224735021054075277e-05
4.364000000000000000e+03 4.365000000000000000e+03 1.338580010066693486e-05 3.096124951170273903e-05
4.365000000000000000e+03 4.366000000000000000e+03 3.455204442738460635e-05 3.900197728632897719e-04
4.366000000000000000e+03 4.367000000000000000e+03 5.175116124798925538e-04 2.167976223238367740e-03
4.367000000000000000e+03 4.368000000000000000e+03 2.823341174235842813e-04 1.169970195754415493e-03
4.368000000000000000e+03 4.369000000000000000e+03 1.404407444644922268e-04 4.636509071772554292e-04
4.369000000000000000e+03 4.370000000000000000e+03 2.810779739871123635e-05 2.385647788420885344e-04
4.370000000000000000e+03 4.371000000000000000e+03 9.263593952005321017e-05 3.213984676221599357e-04
4.371000000000000000e+03 4.372000000000000000e+03 2.089896573466335950e-06 1.504507882112671475e-05
4.372000000000000000e+03 4.373000000000000000e+03 4.283978789871236925e-06 1.785945276930115658e-05
4.373000000000000000e+03 4.374000000000000000e+03 3.528526281546728378e-05 6.941594577904089533e-04
4.374000000000000000e+03 4.375000000000000000e+03 5.059764541517811727e-04 2.477754556787601682e-03
4.375000000000000000e+03 4.376000000000000000e+03 1.330768485065391576e-04 4.196729467291538968e-04
4.376000000000000000e+03 4.377000000000000000e+03 7.251193220150781030e-05 4.848926590686188044e-04
4.377000000000000000e+03 4.378000000000000000e+03 3.568141742008502129e-05 8.055755304467703817e-05
4.378000000000000000e+03 4.379000000000000000e+03 1.615181981209873139e-06 8.664935175368308613e-06
