# w_1 w_2 DS VF CB_L CB_U R_DIFF c_1 c_2 u_1 u_2 fut_util_1_1 fut_util_1_2 fut_util_2_1 fut_util_2_2 pen_1 pen_2 pen_u_1 pen_u_2 
9.628627121874609429e+01 1.058885780300942372e+02 1.000000000000000000e+00 8.880880405670383837e-01 0.000000000000000000e+00 0.000000000000000000e+00 2.361054434729013120e-06 3.268960289237732297e-06 2.933286557162406716e-03 1.327660022598653455e-05 1.062545526524210082e-01 9.510344093865337811e+01 1.061200824995863741e+02 1.008241018554333408e+02 1.079285372410247419e+02 6.052343633966214553e-07 4.244902686505007405e-07 9.847817119229378136e-07 9.026515689937453235e-07
1.008241018554333408e+02 1.079285372410247561e+02 1.000000000000000000e+00 8.902206664872931441e-01 0.000000000000000000e+00 0.000000000000000000e+00 2.563392483955905732e-06 8.585664979403628827e-02 3.646217382944871854e-02 4.414458674642357527e-01 2.558677151115795745e-01 9.981896004111648324e+01 1.075920453920927429e+02 1.022246963304638570e+02 1.094836483288994486e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.022246963304638427e+02 1.094836483288994486e+02 1.000000000000000000e+00 8.889694289489100676e-01 0.000000000000000000e+00 0.000000000000000000e+00 2.800947506144179728e-06 3.896731673582209954e-02 7.541271405586302823e-02 1.889698519956702905e-01 4.852538663672119057e-01 1.014412189741059223e+02 1.093383240191857908e+02 1.035734326885848731e+02 1.108682967598228970e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.035734326885848731e+02 1.108682967598228970e+02 1.000000000000000000e+00 8.865990994099859357e-01 0.000000000000000000e+00 0.000000000000000000e+00 2.876308623415197697e-06 1.773058109646841185e-02 1.134402148511961528e-01 6.321267141958231139e-02 6.562804340854948570e-01 1.028847726709801833e+02 1.106875413997347266e+02 1.046874576999748854e+02 1.121162803219083770e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.046874576999748854e+02 1.121162803219083770e+02 1.000000000000000000e+00 8.828929104472371669e-01 0.000000000000000000e+00 0.000000000000000000e+00 2.734590796987478322e-06 3.575869435602407886e-02 1.495608353098586973e-01 1.377202395897639819e-01 7.503962565460911005e-01 1.038648574631290558e+02 1.114076025437912989e+02 1.055828756757684488e+02 1.132733039520054490e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.055828756757684488e+02 1.132733039520054490e+02 1.000000000000000000e+00 8.786491531234603691e-01 0.000000000000000000e+00 0.000000000000000000e+00 2.638808563586849286e-06 3.312751076094933023e-02 1.785701492973444382e-01 1.481803533094417924e-01 8.354181827975555308e-01 1.046978786385473228e+02 1.123443635161633267e+02 1.064008002849924424e+02 1.143910830500320657e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.064008002849924566e+02 1.143910830500320657e+02 1.000000000000000000e+00 8.736417176168385090e-01 0.000000000000000000e+00 0.000000000000000000e+00 2.582211813606634407e-06 2.282529232179542067e-02 1.996909352136611027e-01 1.429144027377274861e-01 8.953433772100847232e-01 1.054865476777993365e+02 1.133738655132495836e+02 1.070074457039460754e+02 1.155093879739952314e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.070074457039460896e+02 1.155093879739952172e+02 1.000000000000000000e+00 8.677512425522255768e-01 0.000000000000000000e+00 0.000000000000000000e+00 2.563971044862322664e-06 1.845712868362914261e-02 2.131983728712555926e-01 1.543603018852605091e-01 9.253681638686446220e-01 1.060176937784600710e+02 1.142653360518321506e+02 1.073471460339145835e+02 1.166875525858972935e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.073471460339145978e+02 1.166875525858972935e+02 1.000000000000000000e+00 8.619798410586696491e-01 0.000000000000000000e+00 0.000000000000000000e+00 2.545136972328821432e-06 2.294779307869732055e-02 2.222737349076576163e-01 2.056236875779903217e-01 9.435114360397554023e-01 1.061290818912308680e+02 1.146805365265231131e+02 1.076155852571250904e+02 1.179671403705751658e+02 4.493339055717515945e-04 2.833060162416079809e-04 7.310815853483780200e-04 6.694798756804896597e-04
1.076155852571250904e+02 1.179671403705751658e+02 1.000000000000000000e+00 8.562802001307372457e-01 0.000000000000000000e+00 0.000000000000000000e+00 2.510288253145564706e-06 3.226025543450672384e-02 2.280281947952907950e-01 2.950975665868035280e-01 9.558524302175044340e-01 1.060497629279876435e+02 1.147213495995872989e+02 1.079567773830718380e+02 1.193640165371238453e+02 1.478780053582168501e-04 6.086993325943616459e-05 2.405740800468917674e-04 2.203299794592563331e-04
1.060497629279876435e+02 1.147213495995872989e+02 0.000000000000000000e+00 8.942913823654055072e-01 0.000000000000000000e+00 0.000000000000000000e+00 5.463401092239534363e-06 3.987087578718995218e-02 3.243748508800260444e-01 2.876750514797822289e-01 1.141017794592589674e+00 1.048079060900986121e+02 1.129122353371326426e+02 1.066961208719928464e+02 1.157075629648357733e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.048079060900986264e+02 1.129122353371326426e+02 0.000000000000000000e+00 8.913431000677758398e-01 0.000000000000000000e+00 0.000000000000000000e+00 7.274107586632866321e-06 1.176108190625946293e-02 3.114666666706100706e-01 1.492128698392944930e-01 1.116702462902961379e+00 1.038356383839318653e+02 1.117859644013933007e+02 1.057220847412233979e+02 1.138610258495466496e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.038356383839318511e+02 1.117859644013932865e+02 0.000000000000000000e+00 8.892676799200578408e-01 0.000000000000000000e+00 0.000000000000000000e+00 8.936026169627807301e-06 1.545122933872988824e-03 2.986939312422569603e-01 7.448194003333985513e-02 1.091888469261795613e+00 1.029794985485883103e+02 1.111909164741252880e+02 1.049479740575237230e+02 1.127240786233018497e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.029794985485883245e+02 1.111909164741252738e+02 0.000000000000000000e+00 8.896251005060178407e-01 0.000000000000000000e+00 0.000000000000000000e+00 9.254988813582375260e-06 0.000000000000000000e+00 3.024162059648937140e-01 2.131956947314450623e-02 1.081997312954052326e+00 1.021082830978867833e+02 1.107206088987528716e+02 1.045469806562207680e+02 1.121445599843505363e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.021082830978867690e+02 1.107206088987528716e+02 0.000000000000000000e+00 8.877012168065805398e-01 0.000000000000000000e+00 0.000000000000000000e+00 7.618233939246632006e-06 0.000000000000000000e+00 3.133169177654530069e-01 0.000000000000000000e+00 1.048707147328681977e+00 1.011376959475109771e+02 1.100131652467331094e+02 1.042824889135241904e+02 1.117383643939232627e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.011376959475109913e+02 1.100131652467331094e+02 0.000000000000000000e+00 8.818516550903052753e-01 0.000000000000000000e+00 0.000000000000000000e+00 5.377503963852938302e-06 0.000000000000000000e+00 3.258582407706214212e-01 0.000000000000000000e+00 1.017221987539451256e+00 1.000840035002603372e+02 1.092196889578655998e+02 1.037750309013243140e+02 1.110786235063498850e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.000840035002603372e+02 1.092196889578655998e+02 0.000000000000000000e+00 8.694472733636531281e-01 0.000000000000000000e+00 0.000000000000000000e+00 3.600640629716829781e-06 0.000000000000000000e+00 3.674971358999135074e-01 0.000000000000000000e+00 1.084012480330462047e+00 9.895342954478667252e+01 1.086448073950691935e+02 1.029838736078675225e+02 1.102440695894953535e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.895342954478667252e+01 1.086448073950692077e+02 0.000000000000000000e+00 8.536179377901165211e-01 0.000000000000000000e+00 0.000000000000000000e+00 2.662769126326727891e-06 0.000000000000000000e+00 4.474672821984092552e-01 0.000000000000000000e+00 1.272080376056332618e+00 9.771276541482893663e+01 1.084480778270791177e+02 1.022245610039215649e+02 1.095439477119539333e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.771276541482893663e+01 1.084480778270791177e+02 0.000000000000000000e+00 8.399175366470936765e-01 0.000000000000000000e+00 0.000000000000000000e+00 2.170542370742513291e-06 0.000000000000000000e+00 4.913447020533994736e-01 0.000000000000000000e+00 1.355863951433621928e+00 9.629405142505204651e+01 1.082502450431350383e+02 1.021101814618961754e+02 1.093809242953148839e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
