# w_1 w_2 w_3 w_4 DS VF CB_L CB_U R_DIFF c_1 c_2 c_3 c_4 u_1 u_2 u_3 u_4 fut_util_1_1 fut_util_1_2 fut_util_1_3 fut_util_1_4 fut_util_2_1 fut_util_2_2 fut_util_2_3 fut_util_2_4 fut_util_3_1 fut_util_3_2 fut_util_3_3 fut_util_3_4 fut_util_4_1 fut_util_4_2 fut_util_4_3 fut_util_4_4 pen_1 pen_2 pen_3 pen_4 pen_u_1 pen_u_2 pen_u_3 pen_u_4 
1.149530000000000030e+02 1.157360000000000042e+02 1.181689999999999969e+02 1.185589999999999975e+02 0.000000000000000000e+00 6.309226677771211378e-01 1.974598383948847902e+00 1.987246951605394552e+00 9.170760197505899432e-09 7.828254103217583418e-06 2.425472992474480838e-01 4.800799723269726926e-01 7.106907042383040496e-01 1.928665962683673155e-05 9.652016989092645494e-01 1.365854241301389216e+00 1.666168427984704437e+00 1.149527932098711034e+02 1.157359849904483156e+02 1.181690812137099300e+02 1.185590856793760253e+02 1.149529883131446724e+02 1.157360035254915829e+02 1.181689224466958592e+02 1.185588780687814108e+02 1.149530130582785148e+02 1.157359906332514328e+02 1.181690052539042313e+02 1.185588930108020946e+02 1.149537718209055441e+02 1.157366223097733950e+02 1.181708759472328438e+02 1.185652598469737740e+02 4.243378701934337404e-07 1.027981513636301130e-05 3.647019722259424487e-08 1.284181993828176014e-05 1.665186066884084349e-05 4.397510566849362748e-07 3.573234669422634948e-06 1.721219039436277407e-08
1.149527932098710892e+02 1.157359849904483156e+02 1.181690812137099300e+02 1.185590856793760395e+02 0.000000000000000000e+00 6.308986192995815756e-01 1.972187699157877061e+00 1.989609539441286268e+00 8.149125262050115803e-08 2.769896190294557202e-05 2.425373311353996308e-01 4.800946461741078530e-01 7.106869414306267174e-01 4.328496544454124155e-05 9.652017439279314548e-01 1.365849410108677331e+00 1.666148488428848884e+00 1.149530226832616364e+02 1.157358305907195586e+02 1.181690877574571203e+02 1.185588329731811825e+02 1.149532134336094202e+02 1.157360932630433723e+02 1.181689538829855621e+02 1.185586528021282930e+02 1.149532139814859022e+02 1.157360459916431807e+02 1.181692735024898155e+02 1.185586655718366700e+02 1.149540143377505643e+02 1.157366911706760675e+02 1.181710008502228391e+02 1.185651912157184000e+02 2.554712930858978201e-06 6.188930641995098018e-05 2.195676825405469221e-07 7.731377595073837914e-05 1.002520080268797268e-04 2.647507522849468199e-06 2.151254790863470551e-05 1.036254561099512190e-07
1.149530226832616222e+02 1.157358305907195586e+02 1.181690877574571203e+02 1.185588329731811825e+02 0.000000000000000000e+00 6.308965642363619786e-01 1.972516567244302799e+00 1.989276561228421336e+00 8.162036718302366994e-08 1.976818374025645001e-05 2.425478193136205440e-01 4.800923602715262417e-01 7.106800500231933437e-01 3.957655966413681366e-05 9.652162729625938242e-01 1.365848857165300023e+00 1.666140808569011256e+00 1.149528210186571471e+02 1.157358702064592677e+02 1.181690321115708713e+02 1.185587585107042230e+02 1.149528802776011247e+02 1.157359413153041459e+02 1.181688289927787565e+02 1.185585323120069603e+02 1.149529619373485190e+02 1.157359401793817568e+02 1.181691089013068563e+02 1.185585729375117694e+02 1.149537879348440725e+02 1.157365788928576649e+02 1.181708351430072668e+02 1.185649936070108623e+02 7.898128410532941867e-07 1.913364446939124232e-05 6.788135562750910063e-08 2.390226027752565303e-05 3.099382417136043046e-05 8.185011396118184420e-07 6.650800722023729412e-06 3.203675635103468568e-08
1.149528802776011247e+02 1.157359413153041459e+02 1.181688289927787423e+02 1.185585323120069603e+02 1.000000000000000000e+00 6.307879010060128966e-01 1.970998533044989065e+00 1.990577268967036906e+00 1.594141353848255577e-07 4.402606030612960533e-06 2.425687162345668557e-01 4.797957523611198205e-01 7.142058271626368082e-01 1.587780818925596722e-05 9.651392933009731445e-01 1.365462787413121104e+00 1.670347966762970149e+00 1.149526921695727566e+02 1.157356564141942101e+02 1.181685952426515485e+02 1.185587522829488591e+02 1.149533970777464162e+02 1.157359364493923124e+02 1.181684861281185448e+02 1.185583279966984236e+02 1.149529017214822773e+02 1.157358672957571741e+02 1.181689915697113236e+02 1.185585495421639735e+02 1.149550303626214713e+02 1.157376703058138503e+02 1.181682799371764645e+02 1.185607485344439027e+02 1.127659211796893438e-05 3.045203462743230478e-06 7.306568950238434403e-08 4.362318530346653297e-05 2.794945164245180943e-06 2.549409942181335228e-05 6.098143410491166274e-06 4.316309175103311160e-08
1.149526921695727708e+02 1.157356564141942243e+02 1.181685952426515627e+02 1.185587522829488591e+02 0.000000000000000000e+00 6.308248274087375762e-01 1.969478224552147161e+00 1.992171430265328169e+00 8.176792989004943796e-08 2.127464872515309445e-05 2.425190225516559994e-01 4.800110025905834354e-01 7.106981645452370433e-01 8.389161059498964621e-06 9.651310326868296485e-01 1.365716460684841982e+00 1.666126150829468466e+00 1.149533280618098416e+02 1.157354674332812579e+02 1.181684733944019428e+02 1.185583982881188376e+02 1.149530201689330937e+02 1.157357586008365331e+02 1.181683572494948748e+02 1.185581623498942179e+02 1.149531837486799475e+02 1.157358681185773150e+02 1.181686965426232518e+02 1.185582598512307868e+02 1.149539626758677713e+02 1.157363835289925049e+02 1.181705662150838378e+02 1.185648989718916653e+02 2.873020533799533571e-06 6.960048078710176543e-05 2.469249884548160139e-07 8.694678109674051426e-05 1.127430303831903767e-04 2.977376985163372239e-06 2.419293033300576733e-05 1.165367974986462427e-07
1.149533280618098274e+02 1.157354674332812579e+02 1.181684733944019285e+02 1.185583982881188376e+02 0.000000000000000000e+00 6.307836852448600595e-01 1.967842173744169587e+00 1.993725196745550710e+00 8.173559198620981438e-08 3.071135200326898554e-05 2.425295813185253946e-01 4.800428819598998031e-01 7.106810415766380284e-01 6.093041230281136630e-05 9.651922858379110570e-01 1.365717362474511809e+00 1.666095557977370412e+00 1.149531711885393150e+02 1.157355162297502886e+02 1.181680808180122426e+02 1.185583763392633472e+02 1.149521973154401024e+02 1.157353673916372401e+02 1.181677995547256188e+02 1.185579642448642375e+02 1.149526149849210697e+02 1.157355953736925045e+02 1.181680132247745405e+02 1.185581660056697331e+02 1.149534854710132521e+02 1.157361417857578942e+02 1.181701901584132059e+02 1.185647212884755959e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.149534854710132663e+02 1.157361417857578942e+02 1.181701901584131917e+02 1.185647212884755959e+02 3.000000000000000000e+00 6.305278260525406520e-01 1.964015607175340294e+00 1.997040044929741187e+00 7.008389538319937497e-09 4.497235299465178113e-05 2.429267903296299380e-01 4.804506090973018062e-01 7.156395982570702419e-01 6.462857528531994016e-04 9.653391390749461731e-01 1.366158779813761326e+00 1.671920061781043021e+00 1.149557872216916934e+02 1.157337924273942633e+02 1.181686591376670492e+02 1.185642802733131020e+02 1.149514901761219789e+02 1.157350169715187889e+02 1.181656873075814929e+02 1.185616352786422425e+02 1.149533915120108816e+02 1.157369433414326636e+02 1.181689649885729523e+02 1.185602035560568055e+02 1.149639201524025083e+02 1.157444931272856650e+02 1.181795032302770778e+02 1.185674694753194700e+02 3.064873127632713313e-05 1.362897572328436548e-05 1.988313734673047105e-05 6.079452888211301330e-04 4.418858126418562612e-05 1.387543262459909363e-04 1.747118417547602971e-04 5.372827251798142315e-07
1.149639201524025225e+02 1.157444931272856650e+02 1.181795032302770636e+02 1.185674694753194700e+02 3.000000000000000000e+00 6.301952267126027518e-01 1.951240746119976777e+00 2.009149707305228905e+00 6.044513019003266032e-09 6.560479965991712322e-04 2.458523575095705738e-01 4.830314794536736955e-01 7.155264550490765263e-01 2.524981355940376492e-03 9.687093563458464285e-01 1.368483762559752348e+00 1.671162721049054500e+00 1.149587873840148262e+02 1.157340589891542493e+02 1.181608933855096950e+02 1.185601918072463263e+02 1.149447049699327863e+02 1.157369083639130594e+02 1.181644112832782412e+02 1.185556110338597620e+02 1.149521375148846403e+02 1.157359810638363342e+02 1.181768740551900692e+02 1.185548985444375063e+02 1.149637860640536218e+02 1.157445528736443805e+02 1.181577321842971457e+02 1.185669729689159766e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.149637860640536218e+02 1.157445528736443947e+02 1.181577321842971600e+02 1.185669729689159624e+02 3.000000000000000000e+00 6.301224961876217279e-01 1.951093415235533923e+00 2.009151577139709488e+00 1.219276943468480772e-09 5.931774249417349739e-04 2.449779063572787852e-01 4.779652043488760715e-01 7.154442511490997081e-01 2.562281300338426892e-03 9.677258550597549469e-01 1.365869566297546411e+00 1.669965833414333023e+00 1.149642847318605163e+02 1.157287318319798999e+02 1.181211879171200110e+02 1.185638859691719631e+02 1.149413250252724481e+02 1.157307234896011749e+02 1.181298038044885175e+02 1.185589526968927458e+02 1.149503618614293998e+02 1.157327054326397615e+02 1.181420345775602243e+02 1.185587732860519594e+02 1.149763847569918624e+02 1.157535303899116741e+02 1.181653735800881577e+02 1.185797544557287466e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.149763847569918624e+02 1.157535303899116883e+02 1.181653735800881719e+02 1.185797544557287466e+02 3.000000000000000000e+00 6.298377549789100360e-01 1.940149914473660475e+00 2.019525595484159997e+00 2.046956971213303226e-09 1.266934431338670669e-03 2.476369957000668087e-01 4.798391940753708451e-01 7.151616457492233625e-01 4.547513452448310144e-03 9.708724983247021267e-01 1.368389867616834676e+00 1.668876062216254841e+00 1.149703686091934003e+02 1.157253158565261799e+02 1.181108185338733563e+02 1.185717588508833558e+02 1.149325517704714059e+02 1.157277207350229418e+02 1.181202793594919171e+02 1.185616019024656822e+02 1.149487282286934544e+02 1.157317402169913976e+02 1.181406725256375694e+02 1.185605069892927617e+02 1.149918035952410804e+02 1.157638071295871498e+02 1.181715990336911659e+02 1.185960515279586645e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.149918035952410946e+02 1.157638071295871498e+02 1.181715990336911659e+02 1.185960515279586787e+02 3.000000000000000000e+00 6.293720196216545659e-01 1.928364985705378842e+00 2.030379053537930467e+00 1.449677860865526930e-09 2.085670106889134234e-03 2.511679933636964401e-01 4.816884946559064073e-01 7.147594727720838481e-01 7.286157098663654207e-03 9.747712935834262904e-01 1.371058696500729424e+00 1.667068846236587465e+00 1.149809040874255572e+02 1.157184667804401386e+02 1.180894349684296856e+02 1.185813850196290673e+02 1.149204542010829471e+02 1.157225335841588247e+02 1.181011549822787856e+02 1.185643979815979350e+02 1.149465795448095093e+02 1.157304508939733978e+02 1.181344362928043950e+02 1.185617175953369298e+02 1.150162141749329265e+02 1.157813659918992073e+02 1.181782566251646358e+02 1.186193845225248680e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.149465795448094951e+02 1.157304508939733836e+02 1.181344362928043807e+02 1.185617175953369440e+02 2.000000000000000000e+00 6.285994823464895465e-01 1.922712239713996185e+00 2.034486724978982863e+00 1.261613508166429797e-08 3.767561804461948337e-04 2.380413154981445290e-01 4.767267202519296365e-01 7.159499663763321253e-01 2.355629319665486932e-03 9.538773768882080617e-01 1.359516508177173399e+00 1.672095922050447436e+00 1.149869076929562368e+02 1.157425448862133948e+02 1.181439707705086875e+02 1.185464849967691521e+02 1.149674047449448722e+02 1.157660787253525285e+02 1.181385962718902647e+02 1.185454249472819299e+02 1.149553879870454267e+02 1.157486293526665833e+02 1.181736336023494545e+02 1.185368070080103990e+02 1.149733183312164471e+02 1.157514736245367999e+02 1.182147786393932449e+02 1.185553160245914199e+02 8.315001638288811161e-04 3.788289206588875586e-04 6.508398286386861107e-13 1.703552556264781997e-02 7.365002646652292527e-04 1.537822561148239958e-04 1.221967571685398171e-02 1.006738408911213588e-05
