# w_1 w_2 w_3 w_4 DS VF CB_L CB_U R_DIFF c_1 c_2 c_3 c_4 u_1 u_2 u_3 u_4 fut_util_1_1 fut_util_1_2 fut_util_1_3 fut_util_1_4 fut_util_2_1 fut_util_2_2 fut_util_2_3 fut_util_2_4 fut_util_3_1 fut_util_3_2 fut_util_3_3 fut_util_3_4 fut_util_4_1 fut_util_4_2 fut_util_4_3 fut_util_4_4 mu_2_2 mu_3_2 mu_4_2 mu_3_3 mu_4_3 mu_4_4 pen_1 pen_2 pen_3 pen_4 pen_u_1 pen_u_2 pen_u_3 pen_u_4 
1.372489999999999952e+02 1.377069999999999936e+02 1.395300000000000011e+02 1.398429999999999893e+02 3.000000000000000000e+00 6.658027404085857803e-01 2.009478334086174822e+00 2.022127146730996916e+00 2.108767985622073457e-05 1.051843043175191700e-01 3.388420695783370684e-01 5.758438644021413033e-01 2.163547942385720957e-01 6.289433295621759124e-01 1.144378382494303903e+00 1.497823498918186225e+00 9.104820972623147712e-01 1.372404486904660246e+02 1.377105665213993007e+02 1.395373208398174825e+02 1.398519456748066148e+02 1.372492871855854162e+02 1.377101736643426193e+02 1.395312480457419042e+02 1.398434338081779913e+02 1.372513550698606934e+02 1.377038193061620746e+02 1.395325150992316878e+02 1.398479710914326120e+02 1.370740386032585150e+02 1.372669510751380244e+02 1.393410418774872994e+02 1.407255398376989035e+02 1.027292005155046040e+00 1.183601343562626695e+00 1.084862013467683879e-05 8.711161360913890483e-01 6.872979251993298069e-06 7.377061573575566245e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.370740386032585150e+02 1.372669510751380244e+02 1.393410418774872994e+02 1.407255398376989035e+02 3.000000000000000000e+00 6.639951853662044989e-01 1.659865170098979492e+00 2.368125200633429461e+00 2.918184551659678066e-05 9.053817459986096550e-02 3.138229087539483597e-01 5.644397608702547142e-01 2.579486380189499606e-01 6.191810294017977556e-01 1.122587212006543211e+00 1.466810844048885620e+00 9.364429670731567734e-01 1.371657180918799668e+02 1.364937195082056292e+02 1.385164322342069738e+02 1.410268395777692376e+02 1.368889958934719289e+02 1.366087843092358298e+02 1.385354303404737664e+02 1.405597152604018163e+02 1.368985283776446238e+02 1.375926228110335501e+02 1.386674030012711967e+02 1.403298222442026599e+02 1.379116003224333440e+02 1.384056874013375591e+02 1.405695192878902731e+02 1.426295306733786674e+02 1.039668808978794656e+00 1.111708623509563676e+00 5.948330574673321713e-02 8.866299851252189557e-01 4.273624795606982552e-02 7.943431565680794115e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.368985283776446238e+02 1.375926228110335501e+02 1.386674030012711967e+02 1.403298222442026599e+02 2.000000000000000000e+00 6.566879295788181636e-01 1.654349984919287531e+00 2.359025874238348752e+00 2.245468518667939980e-06 1.178617501776761667e-01 5.182974150554577886e-01 4.959509316484300157e-01 2.781374315060161639e-01 6.429983519744049136e-01 1.389004473881376267e+00 1.364989982117473799e+00 8.801427619920498824e-01 1.369727510766978469e+02 1.374033778453231491e+02 1.378917829746380335e+02 1.403814244299801430e+02 1.366203546428079392e+02 1.373066566623497806e+02 1.379081306690745521e+02 1.406282370084776687e+02 1.355152031856447934e+02 1.364704524564134545e+02 1.378289738356608609e+02 1.391873459051236352e+02 1.369649641244482439e+02 1.376359545010903673e+02 1.388072780647170248e+02 1.422434935524356092e+02 5.805769752311384924e-01 4.166395029726224775e-01 9.298288459079054324e-02 7.787177535755293034e-01 2.001177252788848004e-01 1.081698774414430186e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.355152031856447934e+02 1.364704524564134545e+02 1.378289738356608609e+02 1.391873459051236352e+02 2.000000000000000000e+00 6.211591445375299614e-01 1.437090020053300998e+00 2.505228269021759324e+00 6.778494766792430082e-06 1.283417201645151440e-01 5.723784381329000137e-01 4.535186186493184723e-01 2.859938542682710083e-01 6.591543821984680029e-01 1.430374263793829481e+00 1.233030486666812253e+00 9.184292899260719789e-01 1.349343973762341591e+02 1.359615474453486570e+02 1.366394167603874337e+02 1.387493272428718569e+02 1.363615403628829483e+02 1.368728478093134981e+02 1.353719163314748641e+02 1.384132684713631249e+02 1.337007764028203383e+02 1.335137861616579187e+02 1.370651638576691198e+02 1.363059889438538619e+02 1.353152347693890647e+02 1.356301648064646770e+02 1.359123258898865174e+02 1.410079529975853063e+02 7.666818800286867575e-01 1.058556282528674730e+00 2.333009130453124469e-01 8.670746742442375643e-01 5.252316578005566949e-01 1.213624517671372693e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.353152347693890647e+02 1.356301648064646770e+02 1.359123258898865174e+02 1.410079529975853063e+02 3.000000000000000000e+00 6.424732129494905575e-01 1.312379146474673020e+00 2.672567279424308495e+00 3.422909542692019789e-05 1.022552479954366850e-01 2.881748815714924028e-01 5.042989705754280516e-01 3.319745513523137959e-01 6.963566432086271130e-01 1.074855892630231180e+00 1.198616428813377155e+00 9.859258878682296556e-01 1.353924716359104252e+02 1.331361521531823087e+02 1.325071094832255199e+02 1.416534979556990663e+02 1.346290521295819076e+02 1.340665099265369804e+02 1.329053653976404803e+02 1.397713323513820569e+02 1.356865054866206890e+02 1.360190348699387357e+02 1.329771774299758533e+02 1.391115535948011370e+02 1.387199347374311174e+02 1.397967091607845589e+02 1.421230719959327757e+02 1.454383834505915445e+02 1.127441622078939831e+00 8.661897034346082158e-01 1.656864353282372360e-01 1.001101045911397147e+00 1.203274108579659857e-01 9.326479288396002376e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.353924716359104252e+02 1.331361521531823087e+02 1.325071094832255199e+02 1.416534979556990663e+02 0.000000000000000000e+00 3.413905893646640433e-01 1.142351146179392263e+00 2.240430032549936001e+00 4.288700700880567694e-05 6.313220446857294166e-02 9.990409290115513652e-02 1.762173763654000802e-01 2.951570444374589375e-01 4.563216681309529843e-01 4.419501861941526055e-01 6.104346540158734902e-01 8.735697826236631380e-01 1.400547317661897466e+02 1.305051586449742729e+02 1.304727403954493354e+02 1.348594154135056726e+02 1.305028500552387811e+02 1.301311509643865350e+02 1.290789250984536238e+02 1.364216200020109397e+02 1.375095847285539321e+02 1.328614794821987175e+02 1.289463640334917613e+02 1.395399294946329292e+02 1.362716814402058958e+02 1.331570713728159205e+02 1.346703950092638706e+02 1.473969007171967007e+02 7.386348498457587786e-01 7.767125469550063555e-01 3.555287870945024187e-01 1.107184103834606859e+00 8.435567394364340554e-01 7.909675654571981518e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.400547317661897466e+02 1.305051586449742729e+02 1.304727403954493354e+02 1.348594154135056726e+02 0.000000000000000000e+00 9.425829856788592309e-02 8.836148124328292441e-01 2.004901784702942891e+00 8.428141591078027774e-05 1.847772517208552123e-01 7.476852680676093765e-02 4.392723371748194494e-01 2.989139361720035692e-01 8.080063725087255344e-01 3.332107235950724777e-01 1.374554928049628311e+00 8.973679767319733269e-01 1.495795966347513399e+02 1.262280847453594390e+02 1.298594246884927088e+02 1.295959832533197300e+02 1.249698950047000920e+02 1.246071938144768154e+02 1.253461808563618831e+02 1.309157398095678957e+02 1.324383649309380360e+02 1.269738768743151951e+02 1.272311315164926526e+02 1.330059493395468735e+02 1.389248950721648157e+02 1.291077948243655555e+02 1.307343790296590669e+02 1.376745402882410190e+02 6.167761749079012645e-01 8.074234104385591415e-01 2.043879207083030281e-01 7.439355321867632265e-01 6.411476088920282645e-01 9.784202549388735237e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.495795966347513399e+02 1.262280847453594532e+02 1.298594246884927088e+02 1.295959832533197300e+02 0.000000000000000000e+00 -2.824113794454155002e-01 4.237392224147588093e-01 1.711438018694410257e+00 1.000971424514254934e-04 1.935236989777947281e-01 2.494174121833066804e-01 7.028456023809891429e-01 3.423850022102227220e-01 8.531051973124302856e-01 5.957703898032316037e-01 1.291850763708380923e+00 8.724716130547139903e-01 1.714473733759575111e+02 1.135191630061520982e+02 1.264593441061812769e+02 1.122159053142391372e+02 1.227938837100985694e+02 1.123001885240915527e+02 1.158530471883376265e+02 1.223147905212340021e+02 1.335557884020699930e+02 1.187528082818018618e+02 1.263970705759287938e+02 1.265242715538159217e+02 1.459828464214498922e+02 1.158684542040281116e+02 1.229615173012047080e+02 1.304315131845465601e+02 1.737906069634158612e+00 1.487553129802494212e+00 1.056190352500322005e+00 8.884630568111014925e-01 3.785784420207888856e-01 1.190228149942550662e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.227938837100985694e+02 1.123001885240915527e+02 1.158530471883376265e+02 1.223147905212340021e+02 1.000000000000000000e+00 1.066321045466862572e-01 9.493758567696668482e-01 1.963888352323705844e+00 3.315266821586288837e-05 7.544902634282202314e-02 1.520816783619748369e-01 1.969396646409073970e-01 2.772561758433980117e-01 3.925957149946832647e-01 6.315578636353305075e-01 8.495343240068973234e-01 7.687702314041390261e-01 1.307177015751891247e+02 1.053739194666506194e+02 1.094306488066113872e+02 1.135808383446015455e+02 1.083511019969335791e+02 1.061011097858484931e+02 1.078746229875876708e+02 1.203849041142398875e+02 1.196984597202212797e+02 1.166637668502780087e+02 1.110797976142562504e+02 1.198121267558693432e+02 1.319763443579562079e+02 1.240289882065551978e+02 1.307502071787399416e+02 1.304287685547090518e+02 1.259913991337070938e+00 3.783939148684207776e-01 2.331270856023624771e-01 1.376244646630716773e+00 2.959021281370552980e-01 1.750244131727618724e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.319763443579562079e+02 1.240289882065551978e+02 1.307502071787399416e+02 1.304287685547090518e+02 3.000000000000000000e+00 5.544217058664955289e-01 1.125505645899915752e+00 2.683337765833075483e+00 1.089900029317370184e-04 1.732801120570546249e-01 2.524091058731405823e-01 3.989896901229960102e-01 3.690870722046628027e-01 8.512241940503206816e-01 7.281537165967123526e-01 7.103953007415707566e-01 1.063521856363770723e+00 1.361066705392086931e+02 1.134929133419186940e+02 1.249881001513068242e+02 1.263022820447187087e+02 1.293642134931606336e+02 1.178066757897948520e+02 1.242286443636003241e+02 1.231486076571730734e+02 1.358229984337685892e+02 1.290811082915124359e+02 1.291549943486008942e+02 1.261129388631513137e+02 1.284559178162306807e+02 1.275619811269172175e+02 1.303023947369171651e+02 1.310614833927531322e+02 1.413612010553586762e+00 2.462389957482264968e-01 4.307041724862716858e-01 1.162251502559449312e+00 1.911048975789272630e-01 1.068422414351485994e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
